A20WT1_1130,A20WT2_1130,A20WT3_1130,A20WT1_1230,A20WT2_1230,A20WT3_1230,A20WT1_1630,A20WT2_1630,A20WT3_1630,A20MG1_1130,A20MG2_1130,A20MG3_1130,A20MG1_1230,A20MG2_1230,A20MG3_1230,A20MG1_1630,A20MG2_1630,A20MG3_1630,A21WT1_1130,A21WT2_1130,A21WT3_1130,A21WT4_1130,A21WT5_1130,A21WT6_1130,A21WT1_1330,A21WT3_1330,A21WT2_1330,A21WT4_1330,A21WT5_1330,A21WT6_1330,A21WT1_1530,A21WT2_1530,A21WT3_1530,A21WT4_1530,A21WT5_1530,A21WT6_1530,A21WT1_1800,A21WT2_1800,A21WT3_1800,A21WT4_1800,A21WT5_1800,A21WT6_1800,A21MG1_1130,A21MG2_1130,A21MG3_1130,A21MG4_1130,A21MG5_1130,A21MG6_1130,A21MG1_1330,A21MG2_1330,A21MG3_1330,A21MG4_1330,A21MG5_1330,A21MG6_1330,A21MG1_1530,A21MG2_1530,A21MG3_1530,A21MG4_1530,A21MG5_1530,A21MG6_1530,A21MG1_1800,A21MG2_1800,A21MG3_1800,A21MG4_1800,A21MG5_1800,A21MG6_1800
-2.3532999,-2.5017202,-3.0580461,-1.4459754,-1.2532226,-2.7870824,-1.2996457,-1.5499248,-0.58105277,-3.2264924,-3.5347905,-0.32772998,-2.1371748,-1.4176456,-3.0238507,-2.0599953,-1.4073236,-2.0721713,-2.0461566,-1.3716494,-1.9089458,-2.8211281,-3.3312737,-2.2264702,-1.6513689,-1.9124586,-2.1843944,-2.7215926,-1.7335183,-1.8139947,-2.3071439,-2.164027,-1.81819,-1.7046524,-2.4314838,-2.5459465,-1.3428285,-1.7281995,-1.3618522,-0.83954434,-1.3367076,-1.4420937,-2.6009581,-2.0853899,-1.8823512,-2.5450862,-2.8443345,-2.4293836,-2.5077707,-3.047303,-1.866985,-3.1347173,-2.1194477,-3.1140205,-2.8492243,-2.5730026,-2.5341699,-2.9436364,-1.5063337,-2.3694607,-1.6676636,-1.3768459,-1.1985961,-1.0815854,-0.45812648,-0.6646628
-2.7601579,-3.0760443,-2.8657266,-1.1595818,-1.7697656,-3.1405582,-1.3460649,-1.693137,-0.79966263,-4.6978562,-3.9661231,-0.78340353,-2.9197441,-2.1882995,-4.0882705,-1.8919953,-1.1760125,-2.7018507,-1.764434,-1.9853627,-1.8806274,-2.5321837,-2.7824387,-2.1284767,-2.3518312,-2.4211443,-2.8461505,-3.7371222,-2.1482268,-2.120498,-2.6903295,-2.4968653,-2.0769,-2.0110024,-2.9603042,-2.8370472,-1.6776385,-2.329712,-1.5982044,-0.83630909,-1.516753,-1.4218134,-2.9786365,-2.6335797,-2.2778609,-3.0168756,-3.7636961,-3.1954119,-2.9505446,-3.704362,-1.4074263,-3.9586646,-3.0847614,-3.4970327,-3.4384422,-2.9009127,-2.9297504,-3.3504494,-2.188569,-2.9704039,-2.0295025,-1.743729,-1.4136967,-1.5821632,-0.69919179,-1.1281986
-3.4365692,-4.0755052,-2.409732,-1.7579295,-2.6709069,-3.8951648,-1.4320092,-1.7354097,-0.65635824,-5.8255287,-5.2748002,-0.95489319,-3.5142402,-3.1276997,-5.1551228,-1.8665382,-0.74299385,-3.3431749,-2.1740274,-2.4714381,-1.8304838,-2.5324317,-2.5540824,-1.95581,-2.7761246,-2.7527538,-3.438251,-4.535061,-2.6916908,-2.4503002,-2.7976718,-2.6398858,-2.5227504,-2.7927122,-3.5054244,-3.1164147,-1.9138745,-3.0873256,-1.3938686,-0.95603759,-1.7946705,-1.6946728,-3.5970841,-3.4097536,-2.7175819,-3.3478667,-4.1959409,-3.9344288,-3.8596272,-3.8674145,-1.5962141,-4.4976011,-3.6159253,-3.7107211,-3.6421682,-3.5271506,-3.7557634,-3.4967575,-2.5302894,-3.7636379,-2.6337251,-2.2110954,-1.5939044,-1.743186,-0.87465142,-1.6030947
-4.1199517,-4.8568568,-2.9489687,-2.9180531,-3.1860746,-5.0988641,-1.6793371,-1.7669223,-0.24395692,-6.2356844,-6.8999876,-0.61284852,-3.661327,-3.2572908,-6.1696302,-2.5246753,-0.6431483,-3.667048,-3.0296363,-2.3289853,-2.1772931,-3.5817427,-3.646697,-2.5600191,-2.5348079,-2.59004,-3.4992097,-4.590689,-3.2722449,-3.0326935,-2.4803602,-2.5815786,-2.9327694,-3.6143033,-3.795543,-3.4556671,-1.9951703,-3.479061,-1.0391669,-1.2278044,-2.0748897,-2.3623977,-4.3198348,-3.9181221,-3.0053845,-3.3986504,-3.9910571,-4.1167793,-4.5795681,-3.9309865,-2.7267915,-4.5942311,-3.440903,-4.1630051,-3.914373,-4.559338,-4.8731571,-3.7780941,-2.6230925,-4.5676324,-2.90597,-2.751877,-1.7339804,-1.3717922,-0.89643529,-1.8593364
-3.4601352,-4.9423372,-3.3468208,-3.2324175,-2.7966029,-5.1181687,-1.6143225,-1.7389809,-0.5705568,-6.8123922,-6.442283,-1.3811945,-4.1080554,-3.5814978,-6.6399188,-3.4015507,-0.70927183,-3.6611096,-2.7846445,-2.6587819,-3.419915,-3.9047443,-4.0999286,-3.0237947,-2.5968444,-2.0787561,-3.4018913,-3.8956179,-3.0403543,-3.1763712,-2.4115203,-2.5268181,-3.1746716,-3.9789417,-4.4823251,-4.3513176,-2.580095,-3.1920264,-1.8863987,-1.3281914,-1.7955831,-2.3844598,-4.5470354,-4.0006434,-3.1276286,-4.0346694,-4.4584346,-4.6635635,-4.9454985,-4.579385,-3.3216033,-5.895231,-3.3188988,-4.3073396,-4.5835889,-5.2626866,-4.1847411,-3.614702,-2.4362366,-4.7239788,-2.5197097,-2.9995187,-1.5230328,-1.6230347,-1.0839574,-1.9643583
-4.4130363,-5.9460922,-3.7417973,-2.7775279,-3.2600592,-5.676881,-1.6726635,-1.718074,-0.63451123,-7.6220911,-7.5406926,-0.66321189,-5.1075642,-4.0092016,-6.0112157,-3.3405465,-1.0669375,-4.0796736,-3.9310307,-3.2753749,-2.9325377,-4.2341699,-4.3512767,-4.1283677,-3.7819267,-2.8984776,-2.9223214,-4.4875663,-3.3397831,-3.6823067,-2.8384618,-2.6493358,-2.5714757,-4.5449538,-3.4946367,-4.8617853,-3.101736,-2.8581323,-2.3901903,-1.3205015,-1.936644,-2.1341046,-5.2719685,-3.6905695,-3.8314981,-4.7736701,-4.8752856,-4.691945,-6.1867183,-5.5512146,-4.1454221,-7.2707776,-3.9585912,-4.3065225,-4.2403957,-6.7811723,-4.0604446,-4.0203849,-3.3676242,-4.863972,-2.9766181,-3.0930659,-1.5950595,-2.2324674,-1.222146,-1.42399
-5.1739143,-6.5634185,-3.9942492,-2.7339632,-3.6959231,-5.6469905,-1.7893712,-1.6746624,-0.63681978,-7.4563214,-8.4620736,-0.54867483,-5.6083832,-4.7009932,-6.1678761,-2.7756739,-1.4244518,-4.2286299,-4.4438308,-3.7029066,-2.5230724,-4.2574634,-4.6512901,-4.2664415,-4.3685597,-3.4200654,-3.0546576,-5.2729227,-3.9022539,-4.2223285,-3.680392,-3.1258111,-2.3740215,-4.5722458,-2.2540369,-5.1841958,-2.8266127,-2.5111407,-2.4673429,-1.3685557,-2.1531625,-2.1817274,-5.6746882,-4.2962042,-4.3944159,-4.8927948,-4.7963439,-4.4457928,-6.9175986,-5.9653043,-4.2233156,-7.5044067,-5.4152721,-4.3207392,-4.075331,-6.8446993,-4.7486276,-4.4892211,-4.4349004,-5.5128892,-3.2421006,-3.2513557,-1.9308562,-2.4574787,-1.4700558,-1.1124448
-4.6126156,-5.8751676,-4.2145992,-3.6375991,-3.2652568,-4.6692893,-1.8546254,-1.6359838,-0.82469745,-6.2021389,-7.7219902,-2.036512,-5.0161543,-5.478953,-8.1855748,-2.3350793,-1.5003465,-3.8805806,-3.2210425,-3.4958965,-3.6358658,-3.9191698,-5.087032,-3.0036286,-3.4729825,-2.6930949,-4.0601504,-5.1036811,-4.1630126,-4.3701919,-4.5460107,-3.7753699,-3.5568581,-3.8357824,-2.3865663,-5.5177565,-1.8733664,-2.1813748,-2.3856964,-1.5521074,-2.0836899,-2.6694952,-5.1663087,-5.6852362,-4.2105272,-4.5233864,-4.4013132,-4.6634027,-6.0737371,-5.4418246,-3.5020686,-6.4903532,-6.77036,-4.3195693,-4.8971296,-4.8053255,-5.7954177,-4.3539726,-4.5427104,-6.5259873,-2.6579291,-3.498833,-2.2341284,-2.0356708,-1.8103773,-1.5268044
-6.5220794,-5.5370954,-4.9536881,-3.8843792,-3.0427106,-6.1114125,-1.976777,-1.8294708,-0.96925127,-7.5808405,-8.1585442,-0.3385171,-4.5196923,-5.2976735,-9.2432118,-1.9047233,-1.3259969,-4.915419,-3.9521889,-2.2551859,-3.9614202,-4.2957978,-5.3449625,-3.7820098,-3.7214193,-3.5184031,-3.7714714,-4.7806984,-3.8988948,-4.1710184,-4.8777737,-3.8108592,-5.3873234,-4.2061227,-3.6532191,-5.3031611,-2.1618955,-2.2437793,-2.2295509,-1.7621719,-2.108807,-2.6760626,-4.6531812,-3.616456,-3.7593789,-5.7903804,-5.0323891,-6.5166619,-4.773797,-5.0372073,-4.9607964,-6.4635644,-5.5022974,-3.7841378,-4.5852543,-5.5519989,-6.6475527,-3.3682315,-3.928209,-6.4307053,-2.9018225,-3.4211421,-2.0519511,-2.0876651,-1.735557,-1.625698
-5.9936323,-6.995687,-4.9140219,-3.8723761,-3.5917187,-6.3303937,-1.9514906,-2.4094964,-0.71910809,-8.7266794,-8.9508457,-0.43792814,-5.0214613,-6.796036,-10.09651,-2.4291409,-0.51231894,-5.2238313,-4.0507098,-3.163923,-3.2714424,-4.1312215,-5.1352867,-3.4651408,-3.9704728,-3.7676563,-3.8203626,-5.3480518,-3.3346835,-3.9434891,-4.0268397,-3.8448134,-4.974445,-4.4127148,-4.9383337,-4.8009053,-2.3735026,-2.6804244,-2.2166504,-1.3653521,-2.161132,-2.7977051,-4.7585414,-3.551668,-4.9737116,-5.8059586,-5.0243301,-6.2707176,-5.1963891,-5.6791271,-6.2194406,-6.8789621,-4.9385969,-4.0952983,-5.1621115,-5.7800571,-6.6443548,-3.5331777,-4.2876207,-5.382937,-3.5425007,-3.4417378,-2.1375106,-2.2260743,-1.7319068,-1.7825746
