A20WT1_1130,A20WT2_1130,A20WT3_1130,A20WT1_1230,A20WT2_1230,A20WT3_1230,A20WT1_1630,A20WT2_1630,A20WT3_1630,A20MG1_1130,A20MG2_1130,A20MG3_1130,A20MG1_1230,A20MG2_1230,A20MG3_1230,A20MG1_1630,A20MG2_1630,A20MG3_1630,A21WT1_1130,A21WT2_1130,A21WT3_1130,A21WT4_1130,A21WT5_1130,A21WT6_1130,A21WT1_1330,A21WT3_1330,A21WT2_1330,A21WT4_1330,A21WT5_1330,A21WT6_1330,A21WT1_1530,A21WT2_1530,A21WT3_1530,A21WT4_1530,A21WT5_1530,A21WT6_1530,A21WT1_1800,A21WT2_1800,A21WT3_1800,A21WT4_1800,A21WT5_1800,A21WT6_1800,A21MG1_1130,A21MG2_1130,A21MG3_1130,A21MG4_1130,A21MG5_1130,A21MG6_1130,A21MG1_1330,A21MG2_1330,A21MG3_1330,A21MG4_1330,A21MG5_1330,A21MG6_1330,A21MG1_1530,A21MG2_1530,A21MG3_1530,A21MG4_1530,A21MG5_1530,A21MG6_1530,A21MG1_1800,A21MG2_1800,A21MG3_1800,A21MG4_1800,A21MG5_1800,A21MG6_1800
-1.5033506,-2.6861833,-4.4547614,-1.6659773,-3.8783453,-6.290877,-0.92057597,-7.2913857,-1.2376167,-7.5508608,-2.9442156,-1.8231711,-3.1251506,-3.2358614,-5.8602115,-0.50312654,-2.0982135,-2.3816191,-2.0582652,-2.1889071,0.97178511,-3.2917771,-3.2210117,-1.1033284,-3.0205242,-4.2183125,-1.6215948,-5.1911571,-4.5575205,-2.977205,-3.0143746,-2.0542623,-2.383776,-4.5086037,-1.1115856,-5.5555234,-1.0701805,-1.1806487,-2.4474848,-1.0379481,0.26760899,-1.5614268,-1.3464022,-4.298365,-3.3472024,-2.0446309,-3.7406216,-4.9036575,-2.6467889,-9.6788176,-2.6202454,-4.5036597,-2.193881,-3.3539731,-4.5481262,-2.3352717,-2.1516055,-5.530352,-3.0832108,-2.6658934,-1.615232,-1.8442734,-0.88942684,-1.0731229,-1.2003497,-0.46012884
-1.7848539,-2.713522,-5.3309999,-2.514975,-4.3702514,-7.9028518,-0.55056492,-8.1184755,-1.0477637,-9.1012179,-4.2981386,-1.781099,-3.4488223,-3.3748679,-6.736461,-0.47205485,-2.6426772,-3.2713104,-2.2746674,-2.2847865,1.0771347,-4.926137,-3.9589428,-0.96053025,-3.351032,-5.1427061,-1.7614464,-6.420882,-5.6873444,-3.288055,-3.0917551,-2.9468619,-2.6100055,-4.5815749,-1.2552299,-6.409536,-1.0809587,-1.5515548,-3.3741033,-1.1979553,-0.11772153,-2.04794,-1.1225568,-5.4204881,-3.7158327,-3.6624489,-4.8787757,-6.4006917,-3.8354711,-11.442581,-3.4413278,-4.6370837,-2.9379113,-3.8191634,-4.5973599,-3.1449114,-3.5610317,-6.3371561,-4.0329947,-3.4769259,-1.9916728,-2.5498653,-0.86053506,-1.4044561,-1.3268479,-0.62769766
-1.9814496,-2.5005595,-6.3581817,-3.1238879,-5.4033617,-9.908338,-0.27512767,-8.7614342,-0.92886427,-10.166383,-5.5043945,-2.338422,-4.3375782,-3.4314199,-8.0163203,-0.11991171,-3.0458896,-3.8284945,-2.6481544,-2.851872,1.03593,-5.8056141,-4.6760793,-0.72756946,-3.7142581,-6.6049539,-2.2934871,-7.6809806,-6.4305118,-3.972607,-3.230639,-3.7999903,-3.1045472,-5.1152684,-1.1367242,-7.6326777,-1.3282089,-1.9074081,-3.8491772,-1.2680837,-0.27025855,-2.7411892,-1.364461,-7.0346296,-4.486499,-4.682977,-5.8180291,-7.9099066,-4.9485663,-13.233678,-3.7731171,-4.8659878,-3.6457025,-4.7527563,-4.8019192,-3.0987002,-4.6869819,-7.4629212,-4.9766502,-4.3192735,-2.0480375,-3.207378,-1.123039,-1.526518,-1.7821343,-0.59339664
-2.1124499,-2.3994013,-7.416871,-2.9518382,-7.1932353,-11.95023,-0.49495151,-10.001063,-1.1889871,-11.313879,-5.7383596,-3.563342,-5.5326165,-4.1474134,-10.479347,-0.005579747,-3.1158492,-4.0237922,-3.3139437,-4.0177691,1.3626777,-5.4557419,-5.2270386,-0.49185844,-4.6485948,-8.1663994,-3.0498872,-8.5536375,-6.7349899,-5.3345025,-3.7838038,-3.8203054,-4.0228364,-6.4079782,-0.80871898,-8.9808966,-1.5972695,-2.2184212,-3.5023367,-1.2210436,0.10040009,-3.3247366,-1.9820022,-8.3413031,-5.1387109,-3.6081963,-5.8308822,-8.7154725,-4.9080568,-14.963893,-3.6225434,-5.3625608,-4.3601417,-5.7776774,-5.7756388,-1.9513637,-4.9379671,-8.8069495,-5.5400117,-4.8155282,-2.0895644,-3.6183988,-1.8964829,-1.2090152,-2.2741755,-0.34823729
-1.9335053,-2.9882313,-7.1804693,-2.6714349,-8.862262,-13.454311,-0.67121358,-11.94328,-1.6001335,-13.491007,-7.6841681,-3.1294832,-5.6397461,-5.2077466,-12.477764,-0.27316018,-3.3705344,-4.5044794,-3.3769446,-3.8318186,0.98545911,-6.08987,-6.4611803,-0.060944014,-5.8149817,-9.2926097,-2.7493636,-8.8953374,-7.7568696,-6.1992043,-4.6276454,-4.1867934,-4.6034096,-6.3034907,-1.3634097,-10.736455,-1.3398813,-1.6823523,-3.2812513,-1.2839352,0.035445024,-3.272484,-2.3392702,-9.580582,-4.635868,-4.8221161,-6.6888504,-8.6549978,-4.5350798,-16.360677,-4.3813913,-5.9873556,-5.2453213,-5.248321,-6.8688417,-2.8645269,-5.7785423,-10.103222,-6.5121475,-4.8075326,-2.6102491,-3.9049677,-2.4120534,-1.404675,-2.1603596,-0.53308094
-2.2256209,-3.6547021,-7.8269356,-2.3103645,-8.4929416,-14.956603,-0.51390464,-13.527839,-1.8078416,-14.429792,-8.0179109,-3.4368336,-5.169299,-6.2969124,-13.788594,-0.83096231,-2.9090784,-4.4949571,-3.8239538,-4.2161468,1.5062093,-7.4083724,-6.2916655,-0.4646461,-5.7052783,-9.572862,-2.0747611,-9.6008216,-8.8733349,-5.3668043,-5.0518148,-4.9637981,-4.7389341,-6.4092885,-1.6864296,-11.820379,-1.1735918,-1.7597452,-3.4063782,-1.1206748,-0.2084662,-3.4944404,-1.631977,-9.6495853,-6.6199632,-5.079353,-6.0700592,-9.4636807,-5.2984621,-17.547826,-4.8866419,-6.0699551,-4.8759211,-5.5740429,-8.126535,-3.9989959,-6.8299531,-10.875877,-7.4329397,-4.4782086,-3.0544306,-3.7435013,-2.5516491,-1.7438365,-2.2088086,-0.88752656
-2.5728976,-3.4988536,-8.5872734,-2.1418335,-7.7319769,-16.74931,-0.2194857,-13.889896,-1.6282659,-15.95078,-7.6221611,-3.6625353,-5.7161058,-7.3099689,-15.344548,-0.92599049,-2.7276213,-4.2170774,-3.816006,-4.5974896,1.9059204,-8.4764029,-6.2307523,-0.59841622,-5.3003906,-8.9358381,-2.2900219,-10.67476,-9.5379592,-4.8861022,-4.9513698,-5.7656735,-4.2992073,-6.6364156,-2.2003859,-12.167589,-1.4054356,-1.8215761,-3.9743805,-1.1444983,-0.2022649,-3.7743056,-1.4116097,-9.6458486,-7.6460585,-4.9993108,-5.5686881,-10.249206,-6.0474522,-18.398367,-4.4991446,-5.6912748,-4.0070959,-6.3988177,-8.2744615,-4.6714377,-7.1657585,-11.511604,-7.9741385,-4.475389,-2.9439141,-3.4742717,-2.1157874,-2.1964563,-2.3750361,-1.0012837
-2.525905,-2.8696614,-8.5311151,-2.4938631,-8.0344782,-18.466813,0.012471985,-13.462037,-1.2251949,-18.550765,-7.9810731,-3.1611944,-7.5331251,-8.1257768,-17.365041,-0.32929434,-3.514782,-4.0722953,-3.224485,-4.5628623,1.3047102,-8.6466669,-7.3626581,0.20798192,-5.6156756,-8.0352163,-3.5589463,-11.645827,-9.7507455,-6.0819331,-4.8635663,-6.1095385,-3.7665715,-7.0727393,-3.0533799,-12.246618,-1.8688989,-1.2653592,-4.7254718,-1.5278577,0.10215609,-3.813051,-2.6262595,-10.372428,-5.7456604,-5.5588599,-6.4712915,-10.16924,-5.7905895,-18.940085,-3.6178214,-5.5567823,-3.8650472,-6.9553274,-6.934431,-4.8604712,-6.5220012,-12.27473,-8.0579418,-5.1616732,-2.5171887,-3.3720771,-1.2994633,-2.6425906,-2.4880061,-0.75227369
-2.244006,-4.9244329,-8.1313159,-3.8997575,-8.0152273,-18.501129,0.34650503,-15.297384,-1.3494165,-16.88986,-8.6576494,-3.9488125,-7.1043466,-8.3261608,-16.982853,-0.26541037,-4.2329871,-4.3469197,-4.5457304,-5.6688824,0.83644262,-8.3456115,-7.3618978,0.36161306,-5.7916749,-8.514476,-3.3090066,-11.558677,-10.615068,-6.1737635,-6.4305514,-5.8121481,-5.0570924,-9.567286,-2.9422209,-12.919276,-1.5125632,-0.74395375,-4.7822926,-1.5398279,-0.20923097,-3.818173,-3.4733655,-10.434341,-6.6479126,-6.2237879,-7.00821,-10.210992,-5.8249877,-19.631027,-4.5919458,-7.2391887,-5.1818447,-7.538389,-6.0847757,-5.0542731,-6.279011,-12.108546,-8.0589265,-6.0634572,-3.5403734,-3.1759316,-1.0347923,-2.6731536,-2.5762461,-0.73295828
-2.1600811,-5.0828261,-8.8481419,-3.6483717,-8.5858817,-18.373601,0.12070989,-15.587945,-1.498773,-17.795994,-8.7687166,-4.1621207,-7.1346684,-8.617141,-17.347405,-0.62799467,-4.2971332,-4.3228086,-4.9735742,-5.086932,2.1666702,-8.6846562,-8.2109999,0.16217513,-6.1768815,-8.9195494,-2.5842884,-12.017795,-10.925454,-5.9333148,-6.3057088,-5.0690655,-4.391108,-9.8613346,-2.1711199,-13.36122,-2.1485138,-0.55900023,-5.0256655,-1.9578579,-0.083857161,-3.8691138,-2.6288738,-10.641932,-7.1438951,-6.1132284,-6.7902406,-10.147891,-5.7490327,-20.790918,-5.050569,-7.4715371,-5.4090426,-7.2155327,-6.6402124,-5.107327,-7.3316343,-12.58991,-7.7282625,-4.969017,-3.2394796,-3.6914091,-1.7026194,-2.0225775,-2.5348011,-0.81012826
