A20WT1_1130,A20WT2_1130,A20WT3_1130,A20WT1_1230,A20WT2_1230,A20WT3_1230,A20WT1_1630,A20WT2_1630,A20WT3_1630,A20MG1_1130,A20MG2_1130,A20MG3_1130,A20MG1_1230,A20MG2_1230,A20MG3_1230,A20MG1_1630,A20MG2_1630,A20MG3_1630,A21WT1_1130,A21WT2_1130,A21WT3_1130,A21WT4_1130,A21WT5_1130,A21WT6_1130,A21WT1_1330,A21WT3_1330,A21WT2_1330,A21WT4_1330,A21WT5_1330,A21WT6_1330,A21WT1_1530,A21WT2_1530,A21WT3_1530,A21WT4_1530,A21WT5_1530,A21WT6_1530,A21WT1_1800,A21WT2_1800,A21WT3_1800,A21WT4_1800,A21WT5_1800,A21WT6_1800,A21MG1_1130,A21MG2_1130,A21MG3_1130,A21MG4_1130,A21MG5_1130,A21MG6_1130,A21MG1_1330,A21MG2_1330,A21MG3_1330,A21MG4_1330,A21MG5_1330,A21MG6_1330,A21MG1_1530,A21MG2_1530,A21MG3_1530,A21MG4_1530,A21MG5_1530,A21MG6_1530,A21MG1_1800,A21MG2_1800,A21MG3_1800,A21MG4_1800,A21MG5_1800,A21MG6_1800
591.23665,614.98165,627.668,592.53063,563.89732,593.04182,350.10456,342.22061,280.41085,536.48756,552.97598,573.42086,594.49606,596.56807,614.98742,459.06457,454.87216,468.75591,495.4728,499.30901,493.18229,497.19168,518.20442,527.30917,521.4846,557.58152,531.49017,561.56351,539.08692,529.21819,479.69934,481.64669,480.94684,474.28257,464.92356,441.89084,200.67707,198.83997,195.58921,160.72998,149.34709,150.14138,475.62812,480.6402,496.8654,505.23078,493.31724,469.20115,555.1615,566.47815,578.22807,580.01215,559.76013,557.18491,517.9277,515.19283,507.57573,515.09049,493.41258,474.2967,257.63873,247.23835,241.7872,218.44859,208.72527,217.51815
601.38729,625.51061,638.34668,602.46901,573.57587,602.96813,356.71813,348.67117,285.59768,546.0542,562.78114,583.66117,604.3681,606.42079,625.09194,467.07988,462.92747,476.80648,504.22353,507.97392,501.66978,505.80048,527.18937,536.51641,530.22468,566.74779,540.45165,570.80396,548.06546,538.04614,488.58226,490.55905,489.86669,483.04708,473.60172,450.20102,205.23415,203.39999,200.12354,164.70556,153.06062,154.02969,484.36321,489.37859,505.80863,514.15934,502.10915,477.54762,564.55431,575.91074,587.87114,589.66915,569.02345,566.39873,526.94738,524.08804,516.47522,524.10138,502.04894,482.77698,263.481,252.72656,247.14944,223.47339,213.60292,222.62104
610.64206,635.12365,648.23899,611.50209,582.28522,612.07981,362.83231,354.69998,290.47401,554.94246,571.82871,593.14706,613.32782,615.46959,634.33197,474.55157,470.41296,484.38299,512.21145,515.9771,509.53311,513.72265,535.472,544.91761,538.1837,575.13832,548.579,579.31545,556.29828,546.17399,496.7918,498.78028,498.07933,491.17105,481.70071,457.94615,209.8112,208.04283,204.7576,168.55496,156.6276,157.73163,492.47923,497.50161,514.21358,522.33563,510.06272,485.21176,573.20836,584.64195,596.76512,598.524,577.47984,574.84535,535.34715,532.43323,524.75496,532.4816,510.06803,490.67589,268.93653,257.90879,252.29284,228.22333,218.26754,227.43774
619.87143,644.60592,657.96901,620.38324,590.6554,621.07942,368.793,360.64469,295.29619,563.58994,580.69361,602.39487,622.00302,624.32076,643.41674,481.82344,477.69379,492.07406,520.06369,523.94202,517.44484,521.62674,543.64266,553.16132,546.0455,583.58381,556.58954,587.91832,564.56533,554.31257,504.80275,506.87039,506.1596,499.25796,489.72047,465.60939,214.67018,213.06297,209.7313,172.45899,160.27502,161.43687,500.27186,505.33949,522.42529,530.39497,517.82948,492.82008,581.54318,593.12021,605.38136,607.11172,585.78422,583.09683,543.64851,540.80294,532.90331,540.82151,518.12647,498.63443,274.22092,263.00316,257.44689,233.00356,222.89753,232.24575
629.54653,654.53138,667.78163,629.52135,599.43824,630.14791,374.81764,366.56004,299.98361,572.14849,589.79985,611.87011,631.02421,633.37098,652.78792,489.15655,485.10227,499.71213,528.21075,532.1049,525.52495,529.76438,551.94029,561.66551,554.4758,592.46679,565.12185,596.88309,573.20759,562.71964,513.01561,515.15504,514.43898,507.5849,497.75277,473.3392,219.30896,217.74704,214.40134,176.44935,163.99897,165.26648,508.18191,513.29478,530.54514,538.6592,526.00748,500.56729,589.84266,601.46503,613.99873,615.91404,594.49275,591.69806,552.19727,549.29616,541.32678,549.40964,526.38886,506.78424,279.67438,268.35893,262.7393,237.89962,227.45283,237.08118
638.59893,663.83421,676.98785,638.41278,608.09441,638.91561,380.71054,372.35246,304.65016,580.652,598.42903,620.9009,639.71952,642.01923,661.82861,496.33852,492.39113,507.20512,535.93919,539.87447,533.12215,537.47915,559.80665,569.68965,562.5043,600.81374,573.30765,605.28655,581.40968,570.79007,521.10959,523.37045,522.61974,515.74218,505.68157,481.1243,223.74338,222.24411,218.86088,180.3603,167.70113,169.13672,515.72289,520.88745,538.33824,546.5188,533.83481,508.07687,597.92754,609.58354,622.32972,624.32666,602.77171,599.98292,560.23032,557.16857,549.22056,557.51442,534.37507,514.59563,285.20968,273.63376,268.01749,242.66376,232.02168,241.9458
647.82212,673.27664,686.44776,647.54418,616.87002,647.98265,386.83789,378.40237,309.56704,589.27753,607.09122,630.02674,648.60353,650.94342,671.08356,503.61436,499.81854,514.94148,543.72292,547.73795,540.87406,545.26391,567.8563,577.86978,570.59471,609.25872,581.53759,613.82556,589.67325,578.95939,529.49505,531.86952,531.08651,524.10544,513.95901,489.17611,228.47782,227.0701,223.66626,184.37887,171.46234,173.06395,523.29318,528.49907,546.20962,554.46099,541.65259,515.63998,606.29603,618.07365,630.98901,632.96261,611.1443,608.43761,568.45506,565.18583,557.27824,565.894,542.5917,522.6463,290.87253,278.97813,273.37477,247.55468,236.76678,246.94978
658.27004,683.92497,697.21819,657.65947,626.4311,658.1059,393.66594,385.14091,315.02948,598.62199,616.70196,640.17812,658.53041,661.04167,681.40811,511.61895,507.97954,523.50498,552.32609,556.4239,549.6047,553.89107,576.86534,587.04107,579.57353,618.7664,590.62137,623.45512,598.87662,588.02742,538.7158,541.16579,540.36937,533.28306,523.12419,497.90832,233.88368,232.57717,229.18649,188.79313,175.52234,177.25092,531.6001,536.85524,554.8609,563.25179,550.19118,523.89873,615.67248,627.67437,640.76367,642.71796,620.5213,617.87369,577.77215,574.30235,566.39892,575.44335,551.75809,531.68052,296.93908,284.78836,279.11593,252.96276,241.93406,252.39598
670.85884,696.81211,710.22975,669.71644,638.08812,670.05743,401.71199,392.97213,321.3776,610.19741,628.60504,652.71097,670.68904,673.26439,693.93886,521.70957,518.0563,533.78432,562.66526,566.75393,560.0463,564.2785,587.51781,597.93557,590.49368,630.40369,601.79468,635.06989,610.21086,599.19796,549.3656,551.92708,551.09,544.11045,533.74468,508.13882,239.88245,238.64905,235.2413,193.98151,180.39631,182.272,541.68605,547.10918,565.42169,573.84508,560.57732,534.00623,627.09047,639.26185,652.55085,654.6949,632.16061,629.40635,588.95905,585.31061,577.36811,586.8187,562.71009,542.40381,304.15745,291.80357,285.89944,259.37801,247.9538,259.00389
684.77642,711.17389,724.80131,683.46046,651.24214,683.70532,410.62659,401.79429,328.51131,623.15705,641.68833,666.36664,684.12419,686.72202,707.78917,532.75116,529.15322,544.94794,574.68725,578.78427,571.93965,576.3046,599.81366,610.59926,602.7506,643.28207,614.25979,648.00314,622.78822,611.66807,561.50225,564.14795,563.32513,556.31655,545.74495,519.70027,246.51752,245.41551,241.88681,199.65173,185.77648,187.77179,553.22049,558.66508,577.29434,585.85539,572.55228,545.47596,639.87845,652.17062,665.67543,667.89475,644.9163,642.17249,601.40618,597.5949,589.60576,599.39831,574.86691,554.36334,312.27052,299.64816,293.71305,266.46646,254.63989,266.0573
