A20WT1_1130,A20WT2_1130,A20WT3_1130,A20WT1_1230,A20WT2_1230,A20WT3_1230,A20WT1_1630,A20WT2_1630,A20WT3_1630,A20MG1_1130,A20MG2_1130,A20MG3_1130,A20MG1_1230,A20MG2_1230,A20MG3_1230,A20MG1_1630,A20MG2_1630,A20MG3_1630,A21WT1_1130,A21WT2_1130,A21WT3_1130,A21WT4_1130,A21WT5_1130,A21WT6_1130,A21WT1_1330,A21WT3_1330,A21WT2_1330,A21WT4_1330,A21WT5_1330,A21WT6_1330,A21WT1_1530,A21WT2_1530,A21WT3_1530,A21WT4_1530,A21WT5_1530,A21WT6_1530,A21WT1_1800,A21WT2_1800,A21WT3_1800,A21WT4_1800,A21WT5_1800,A21WT6_1800,A21MG1_1130,A21MG2_1130,A21MG3_1130,A21MG4_1130,A21MG5_1130,A21MG6_1130,A21MG1_1330,A21MG2_1330,A21MG3_1330,A21MG4_1330,A21MG5_1330,A21MG6_1330,A21MG1_1530,A21MG2_1530,A21MG3_1530,A21MG4_1530,A21MG5_1530,A21MG6_1530,A21MG1_1800,A21MG2_1800,A21MG3_1800,A21MG4_1800,A21MG5_1800,A21MG6_1800
473.54532,491.09983,501.89941,464.40183,436.02886,475.60339,248.8428,261.94459,191.83621,434.83298,445.74734,459.89922,471.66758,473.82611,507.43287,346.75829,344.80277,354.36184,387.46513,390.3662,387.33168,391.60542,409.52379,411.28666,411.82911,437.11414,416.79731,437.59694,422.44113,415.44945,376.75769,373.91872,377.39344,371.9874,362.90401,348.08219,148.36047,153.56798,147.11122,111.76606,108.76588,113.12098,370.28277,376.86076,389.04849,393.39486,382.7348,368.01525,434.23456,444.03443,455.27675,454.98033,442.10775,437.8941,410.1147,406.61837,406.85661,405.05163,385.38695,375.29052,192.95247,185.88157,177.70823,159.15931,144.53629,154.87919
498.83931,517.13696,528.62238,489.22369,459.485,501.16189,262.23133,276.24973,202.10328,458.24909,469.7894,484.80747,496.80403,498.99482,534.60598,365.27054,363.1326,373.19144,408.19849,411.30221,408.0146,412.57361,431.40976,433.21163,433.69454,460.23048,438.97351,460.87547,444.83663,437.5399,397.64265,394.61304,398.24105,392.40468,382.89063,367.27391,156.6088,162.2419,155.37673,118.19125,115.0675,119.67836,390.43571,397.29595,410.1653,414.45435,403.28894,387.73869,457.47058,467.81514,479.53624,479.22725,465.66627,461.11088,432.23294,428.57613,428.9107,426.96178,406.20234,395.67552,203.82141,196.25172,187.67483,168.05731,152.6952,163.61477
520.71656,539.65211,551.80541,510.7023,479.77341,523.22273,274.01539,288.76593,211.15043,478.60394,490.62181,506.44847,518.48877,520.79519,558.09357,381.42779,379.27733,389.68889,426.09943,429.39057,425.93096,430.6286,450.30146,452.15705,452.64813,480.28438,458.19693,481.04555,464.35325,456.76363,415.87556,412.73403,416.4951,410.35543,400.48098,384.15944,164.18025,170.26478,163.0013,123.9771,120.74758,125.68073,407.89205,415.00473,428.44349,432.60234,420.96527,404.78894,477.52803,488.41393,500.48674,500.24359,486.02451,481.25625,451.59946,447.76526,448.20299,446.23332,424.49605,413.65202,213.46363,205.5698,196.53264,176.13883,160.00006,171.50607
539.66546,559.17278,571.8389,529.21733,497.2582,542.21522,284.28317,299.58935,219.04666,496.14964,508.5707,525.09307,537.16623,539.65748,578.29735,395.42652,393.36665,404.14344,441.54033,444.9402,441.45016,446.2099,466.63559,468.49138,469.14165,497.79504,474.93763,498.62871,481.46411,473.55245,431.73006,428.55694,432.42608,426.1097,415.91883,399.02737,171.32055,177.73288,170.16229,129.22861,125.88761,131.20889,422.80017,430.07783,444.05748,448.29637,436.23862,419.64028,494.65291,506.04335,518.39878,518.27681,503.51075,498.69594,468.53803,464.51104,465.05135,463.16334,440.58716,429.5429,222.07126,213.97894,204.49539,183.50003,166.58985,178.67238
556.05564,575.89714,588.98401,545.13954,512.11176,558.45431,292.965,308.91066,225.70816,510.86161,524.05292,541.1524,553.3466,555.81868,595.70458,407.54704,405.45359,416.46461,454.84867,458.32166,454.88811,459.81317,480.68086,482.48041,483.52468,512.96823,489.62632,514.03018,496.24295,487.97726,445.57989,442.34616,446.31685,439.73976,429.32176,412.02509,177.48783,184.12434,176.28794,134.00495,130.5041,136.07446,435.43457,442.83738,457.26939,461.7966,449.34622,432.29233,509.2975,520.95641,533.63156,533.64761,518.64562,513.83845,483.09195,478.91587,479.6292,477.82149,454.4837,443.24801,229.7318,221.2747,211.71934,189.85378,172.45308,185.01024
569.29284,589.50213,602.60014,558.24381,524.39082,571.77146,300.31431,316.74768,231.29623,523.21861,536.54934,554.32377,566.38563,568.97153,609.87524,417.43281,415.42275,426.78256,465.55999,469.1781,465.7051,470.75332,492.12328,493.95633,495.17457,525.22058,501.40197,526.35671,508.11573,499.83083,457.14654,453.92131,457.98402,451.33316,440.64227,422.97479,182.75048,189.59181,181.57637,138.2254,134.64605,140.37287,445.62758,453.23672,468.02103,472.63106,460.04192,442.63708,521.10925,533.05564,546.01873,546.19802,531.01772,526.10648,494.77714,490.34493,491.2812,489.6318,465.94293,454.72096,236.33893,227.66832,217.98026,195.47251,177.54451,190.49838
580.6141,601.10224,614.23248,569.37384,534.87082,583.07545,306.85201,323.71882,236.26756,533.91189,547.17225,565.50619,577.53096,580.19681,621.97005,425.86487,424.00964,435.78487,474.68343,478.44248,474.98566,480.12591,501.87066,503.75965,505.06505,535.61969,511.35275,536.77785,518.26032,509.9778,467.24781,464.02387,468.11717,461.52786,450.57507,432.54087,187.63198,194.76004,186.62031,142.03907,138.46076,144.38626,454.38366,462.11527,477.17814,481.8347,469.17197,451.51922,531.29789,543.49407,556.66995,556.96205,541.61353,536.51336,504.86089,500.21491,501.34398,499.84508,475.84676,464.71712,242.28238,233.45612,223.54467,200.62645,182.12644,195.47902
591.64807,612.30795,625.73627,579.89557,544.78328,593.75541,313.22769,330.56922,241.16992,544.04104,557.50953,576.18297,588.3626,590.97512,633.57278,434.0227,432.28832,444.46539,483.56472,487.38826,484.05768,489.29174,511.22916,513.13998,514.61946,545.6471,521.02572,546.87749,528.18633,519.69829,476.97334,473.69753,477.76174,471.21949,460.09428,441.71622,192.6602,200.15902,191.90622,145.80644,142.23856,148.46832,462.98465,470.71195,486.00877,490.81252,477.98911,460.13431,541.29392,553.65892,566.98904,567.3163,551.79529,546.5182,514.82995,510.07152,511.32745,509.94537,485.41882,474.29698,248.14718,239.11979,228.95236,205.71909,186.66346,200.44672
604.07439,625.17565,638.70803,591.80993,556.00937,605.73938,320.26198,338.07201,246.63367,555.48163,569.47575,588.56986,600.37205,603.05059,646.49067,443.43862,441.67979,454.25733,493.60916,497.4341,494.03882,499.38434,521.802,523.75854,525.52269,556.9408,532.09599,558.21749,539.35656,530.68206,487.50919,484.21622,488.32006,481.58202,470.42991,451.80588,198.17378,205.92764,197.54822,150.23599,146.53287,153.05101,472.81483,480.75198,496.24319,501.09568,488.13078,470.0062,552.35459,564.92232,578.4743,578.86317,563.13728,557.84274,525.89154,520.86688,522.26118,521.1335,496.10946,484.80576,254.70702,245.48044,235.08205,211.44164,191.91792,206.06411
617.5894,639.04685,652.81995,604.88094,568.40867,619.01586,328.01961,346.35313,252.5873,568.14082,582.30208,601.79654,613.33756,616.03362,660.45312,453.70391,451.92237,464.49896,505.02434,508.88301,505.51126,510.95206,533.70101,535.78614,537.30888,569.19462,544.02972,570.5189,551.37192,542.65379,499.15966,495.8279,500.00345,493.27764,481.89016,462.95733,204.17868,212.22412,203.57087,154.93362,151.16045,157.98078,483.71588,491.72851,507.56164,512.56259,499.39766,480.94484,564.5139,577.30276,591.13814,591.52312,575.37643,570.03192,537.94435,532.64942,534.18435,533.22587,507.79381,496.25924,262.03862,252.64066,241.98697,217.59492,197.53737,212.08814
