Sample,Variety,TimeMark,Date,Time,Soort,Leaf,LeafNumAll,Layers,iPAR,F,Fmp,PAR,Y,ETR,F0,Fm,Y0,YNPQ,YNO,NPQ,PRI,F690R,F740R,F690T,F740T
A20WT1_1130,WT,11:38:48,1,1,1,1,1,1,1163.3121,408,518,1773,0.212,157.9,385,1815,0.788,0.562851399,0.224793388,2.503861004,-0.020824757,8.272376,16.632492,3.4373346,12.415044
A20WT2_1130,WT,11:52:38,1,1,1,2,2,1,1186.6774,346,492,1382,0.297,172.4,389,2054,0.811,0.534800231,0.168451801,3.174796748,-0.027731865,8.4809553,17.61229,2.2980912,11.780157
A20WT3_1130,WT,11:58:47,1,1,1,3,3,1,1188.8551,484,678,1009,0.286,121.2,462,1870,0.753,0.455040777,0.258823529,1.758112094,-0.043609546,7.675672,13.963565,2.1801248,9.703004
A20WT1_1230,WT,12:49:09,1,2,1,1,1,1,1140.9573,360,496,1350,0.274,155.4,366,1581,0.769,0.498102467,0.227703985,2.1875,-0.015211127,6.2750938,12.898925,2.2507434,9.3991213
A20WT2_1230,WT,12:49:42,1,2,1,2,2,1,1098.729,352,451,1423,0.22,131.5,292,1574,0.814,0.608392358,0.205209657,2.964735516,-0.046324704,6.2649831,12.868164,1.9162686,8.5614081
A20WT3_1230,WT,13:00:16,1,2,1,3,3,1,1113.1769,323,397,1447,0.186,113,304,1288,0.764,0.507195879,0.273291925,1.855875831,-0.031934538,6.8763538,14.631374,2.25279,11.276636
A20WT1_1630,WT,16:27:30,1,3,1,1,1,1,874.03711,363,824,570,0.559,133.8,385,1815,0.788,0.240533981,0.2,1.202669903,-0.018369705,4.8658665,9.6645312,1.8049436,7.8577037
A20WT2_1630,WT,16:27:55,1,3,1,2,2,1,857.49948,378,559,775,0.324,105.5,389,2054,0.811,0.492176355,0.184031159,2.674418605,0.002979694,4.6517188,8.8587983,0.92183545,4.1606788
A20WT3_1630,WT,16:28:21,1,3,1,3,3,1,682.39776,369,800,791,0.539,179.1,462,1870,0.753,0.263923797,0.197326203,1.3375,-0.028266478,5.1141616,10.160413,1.1538289,6.0948321
A20MG1_1130,MG,11:13:14,1,1,2,1,4,1,1083.3186,398,602,1296,0.339,184.5,366,1581,0.769,0.409390163,0.251739405,1.626245847,-0.039907163,9.0899792,13.174294,5.516211,9.4391318
A20MG2_1130,MG,11:18:28,1,1,2,2,5,1,1098.328,390,570,1360,0.316,180.5,304,1288,0.764,0.381415495,0.302795031,1.259649123,-0.08613265,8.995833,9.2653247,4.9393198,6.5621836
A20MG3_1130,MG,11:24:55,1,1,2,3,6,1,1156.264,374,542,1446,0.31,188.3,292,1574,0.814,0.452425719,0.237611182,1.904059041,-0.108189245,7.1598027,7.6359605,3.959416,5.1921798
A20MG1_1230,MG,13:32:52,1,2,2,1,4,1,1107.8889,353,551,1447,0.359,218.2,385,1815,0.788,0.446162999,0.194490358,2.294010889,-0.05786859,6.9132984,9.280644,3.8711161,7.7779714
A20MG2_1230,MG,13:33:22,1,2,2,2,5,1,1114.4211,317,436,1413,0.273,162,389,2054,0.811,0.572731211,0.154333009,3.711009174,-0.114934517,8.3641084,6.3002476,6.9382582,5.5225132
A20MG3_1230,MG,13:46:02,1,2,2,3,6,1,1123.2661,356,500,1465,0.288,177.2,462,1870,0.753,0.521625668,0.190374332,2.74,-0.101256735,8.3001831,8.6654132,4.8486845,6.174394
A20MG1_1630,MG,15:25:51,1,3,2,1,4,1,961.67737,371,642,1261,0.422,223.5,366,1581,0.769,0.343220013,0.234661607,1.462616822,-0.054845511,6.7536336,8.3284458,3.4492895,6.2620853
A20MG2_1630,MG,15:26:40,1,3,2,2,5,1,1001.3057,328,435,1464,0.246,151.3,304,1288,0.764,0.499364603,0.254658385,1.96091954,-0.105467622,7.4664402,5.4644542,5.3236719,4.3714931
A20MG3_1630,MG,16:11:16,1,3,2,3,6,1,1011.8114,332,615,1094,0.46,211.4,292,1574,0.814,0.328909825,0.210927573,1.559349593,-0.102930252,7.5094113,8.2418211,4.5693839,6.1725656
A21WT1_1130,WT,11:41:48,2,1,1,1,7,1,1057.183,372,634,1231,0.413,213.5,396.875,1720.625,0.769,0.37055028,0.216200509,1.713919558,-0.019429272,6.5872693,14.925728,1.8677016,10.59174
A21WT2_1130,WT,11:42:15,2,1,1,2,8,1,1062.9947,385,603,1308,0.362,198.9,417,1688,0.753,0.410393726,0.228080569,1.79933665,-0.028956176,6.9523928,13.024028,2.025161,9.1476153
A21WT3_1130,WT,11:42:46,2,1,1,3,9,1,1060.1841,357,560,1305,0.363,199,392,1671,0.765,0.423855476,0.213644524,1.983928571,-0.011774967,7.0525918,15.314629,1.6759886,9.6910661
A21WT4_1130,WT,11:50:03,2,1,1,4,10,2,1059.1995,334,518,1261,0.355,188,456.875,1566.875,0.708,0.431624502,0.213163143,2.024855212,-0.033664023,7.2953453,13.982944,3.5797493,11.3523
A21WT5_1130,WT,11:50:55,2,1,1,5,11,2,1071.8698,380,505,1261,0.248,131.3,392.5,1857.5,0.789,0.547899204,0.204576043,2.678217822,-0.008877334,7.9104487,14.560572,3.8633714,12.912866
A21WT6_1130,WT,11:51:34,2,1,1,6,12,2,1089.0318,295,436,1520,0.323,206.2,360.625,1591.25,0.773,0.491216659,0.185388845,2.649655963,-0.068014308,5.2024373,10.027986,2.2842504,8.1484795
A21WT1_1330,WT,13:39:18,2,2,1,1,7,1,1062.1895,337,565,1307,0.404,221.8,396.875,1720.625,0.769,0.400601114,0.195859063,2.045353982,-0.030673437,6.6467749,12.447764,1.8235309,8.2153528
A21WT2_1330,WT,13:39:40,2,2,1,2,8,1,1079.0251,323,507,1333,0.363,203.2,417,1688,0.753,0.445730157,0.191350711,2.32938856,-0.03947929,5.5326863,11.820471,1.0422742,8.0797831
A21WT3_1330,WT,13:39:59,2,2,1,3,9,1,1095.7097,312,486,1441,0.358,216.7,392,1671,0.765,0.455260766,0.186714542,2.438271605,-0.020274473,6.7459668,16.086626,1.7791425,11.008107
A21WT4_1330,WT,13:47:15,2,2,1,4,10,2,1103.7158,326,510,1261,0.361,191.2,456.875,1566.875,0.708,0.431158247,0.208057439,2.072303922,-0.043088154,6.5304722,12.424482,2.769447,9.1935377
A21WT5_1330,WT,13:47:57,2,2,1,5,11,2,1082.5802,362,512,1299,0.293,159.9,392.5,1857.5,0.789,0.512145651,0.194885599,2.627929688,-0.008506325,7.449259,13.39037,3.2212537,10.983381
A21WT6_1330,WT,13:48:29,2,2,1,6,12,2,1072.63,283,424,1315,0.333,183.9,360.625,1591.25,0.773,0.489605226,0.177847604,2.752948113,-0.06434544,5.9669399,11.286407,1.7621135,7.7465633
A21WT1_1530,WT,15:51:40,2,3,1,1,7,1,1059.7183,336,584,1183,0.425,211.2,396.875,1720.625,0.769,0.380064587,0.195277879,1.946275685,-0.024465547,6.2031764,12.56032,1.4037149,7.7253572
A21WT2_1530,WT,15:52:17,2,3,1,2,8,1,1065.3152,317,509,1203,0.377,190.5,417,1688,0.753,0.434993575,0.187796209,2.316306483,-0.041909493,6.1929874,11.289589,1.8244795,7.7248817
A21WT3_1530,WT,15:52:45,2,3,1,3,9,1,1060.9757,291,457,1146,0.363,174.7,392,1671,0.765,0.462614271,0.174147217,2.656455142,-0.047846338,4.9607184,10.101501,0.78434175,6.1585429
A21WT4_1530,WT,16:04:02,2,3,1,4,10,2,1064.1898,330,592,1213,0.443,225.7,456.875,1566.875,0.708,0.346822141,0.210610291,1.646748311,-0.029749065,7.9244425,13.868917,3.1259075,10.223506
A21WT5_1530,WT,16:04:38,2,3,1,5,11,2,1049.4613,380,566,977,0.329,135,392.5,1857.5,0.789,0.466802049,0.204576043,2.28180212,-0.005530346,8.4008675,15.210709,2.5563754,10.602682
A21WT6_1530,WT,16:05:22,2,3,1,6,12,2,1017.6886,293,447,1071,0.345,155.2,360.625,1591.25,0.773,0.471349013,0.184131972,2.5598434,-0.07348148,6.6788081,11.216018,2.7508002,8.4228128
A21WT1_1800,WT,18:01:30,2,4,1,1,7,1,744.00141,261,513,681,0.491,140.4,396.875,1720.625,0.769,0.357082863,0.151689066,2.354044834,-0.034103407,4.5085869,10.119081,1.207272,7.3987462
