A20WT1_1130,A20WT2_1130,A20WT3_1130,A20WT1_1230,A20WT2_1230,A20WT3_1230,A20WT1_1630,A20WT2_1630,A20WT3_1630,A20MG1_1130,A20MG2_1130,A20MG3_1130,A20MG1_1230,A20MG2_1230,A20MG3_1230,A20MG1_1630,A20MG2_1630,A20MG3_1630,A21WT1_1130,A21WT2_1130,A21WT3_1130,A21WT4_1130,A21WT5_1130,A21WT6_1130,A21WT1_1330,A21WT3_1330,A21WT2_1330,A21WT4_1330,A21WT5_1330,A21WT6_1330,A21WT1_1530,A21WT2_1530,A21WT3_1530,A21WT4_1530,A21WT5_1530,A21WT6_1530,A21WT1_1800,A21WT2_1800,A21WT3_1800,A21WT4_1800,A21WT5_1800,A21WT6_1800,A21MG1_1130,A21MG2_1130,A21MG3_1130,A21MG4_1130,A21MG5_1130,A21MG6_1130,A21MG1_1330,A21MG2_1330,A21MG3_1330,A21MG4_1330,A21MG5_1330,A21MG6_1330,A21MG1_1530,A21MG2_1530,A21MG3_1530,A21MG4_1530,A21MG5_1530,A21MG6_1530,A21MG1_1800,A21MG2_1800,A21MG3_1800,A21MG4_1800,A21MG5_1800,A21MG6_1800
0.04670573,0.051547957,0.037709879,0.033543001,0.029241343,0.056338137,0.030746169,0.029712053,0.055780221,0.058857659,0.035996232,0.033939216,0.030083964,0.050882869,0.031941241,0.029073884,0.042125952,0.03634939,0.050190664,0.037394479,0.046012205,0.050467765,0.042756822,0.047963698,0.035350227,0.027253597,0.051860111,0.040065251,0.030809481,0.038971592,0.035409423,0.029225542,0.02123979,0.048992209,0.031293664,0.057593121,0.052092785,0.048087513,0.035524266,0.043746361,0.04421825,0.044620003,0.051835699,0.0429417,0.03546402,0.028429296,0.034478121,0.03627581,0.029612632,0.043824567,0.029074234,0.046462342,0.032363401,0.032039233,0.039750938,0.031625237,0.043635288,0.041498212,0.034801324,0.045162199,0.045554599,0.04412099,0.035128207,0.037427917,0.033900421,0.043546661
0.046713313,0.051405875,0.037648727,0.033532093,0.029061624,0.056417134,0.030851107,0.029737873,0.055888617,0.059030662,0.036290921,0.034020008,0.030112434,0.050888389,0.031876926,0.029167342,0.042099356,0.036224466,0.050049951,0.03719437,0.046034884,0.050740477,0.042833634,0.047832054,0.034945922,0.026942241,0.051668171,0.039955868,0.030548496,0.038822702,0.035512116,0.029406455,0.021225105,0.048827927,0.03134945,0.057419408,0.051052498,0.047345611,0.034631612,0.043672896,0.044339805,0.044500405,0.051909817,0.043231661,0.035556359,0.028504038,0.034574388,0.036268154,0.029866611,0.044074961,0.029210546,0.046477169,0.032271821,0.031876262,0.039324274,0.031521174,0.043473904,0.041268326,0.034532579,0.044672016,0.044983624,0.043986161,0.034998421,0.036846613,0.033535512,0.043299849
0.04637194,0.050997822,0.037582019,0.033363949,0.028829467,0.05616701,0.031065311,0.029845874,0.055964082,0.059081277,0.036266161,0.034026588,0.030151131,0.050722616,0.031651074,0.029163438,0.042180147,0.036177184,0.049803862,0.036926535,0.04590492,0.050562631,0.042781844,0.047593092,0.034651499,0.026654693,0.051382129,0.039715094,0.030255844,0.038648546,0.035555434,0.029443018,0.02126319,0.048794864,0.031278523,0.057262355,0.051096699,0.047115267,0.034655141,0.043566428,0.044118029,0.044585907,0.052044417,0.043449636,0.035777951,0.028161591,0.034240572,0.035962357,0.030043322,0.044301862,0.029216426,0.046491593,0.032252283,0.031780703,0.039080804,0.031351496,0.043484377,0.041177927,0.034380557,0.044349743,0.04430783,0.043791137,0.034681855,0.036567975,0.033670424,0.043081128
0.046040135,0.050656002,0.037626708,0.033148241,0.028733326,0.055745307,0.031260518,0.030075087,0.055954074,0.05872207,0.035973137,0.033970763,0.030127682,0.050580951,0.031460474,0.029033843,0.042095784,0.036238598,0.04975233,0.03682693,0.045726513,0.050144786,0.042628145,0.047447265,0.034871309,0.026724377,0.051267498,0.039647051,0.030315531,0.038729691,0.035529937,0.029269565,0.021337127,0.048926919,0.031134018,0.057158566,0.05213571,0.047778382,0.035557183,0.043283251,0.043592811,0.044731714,0.051865412,0.043277427,0.035715409,0.027705178,0.033796918,0.035644964,0.029802624,0.044259454,0.028975147,0.046330127,0.032300032,0.031713483,0.039155964,0.031269807,0.043698752,0.041379127,0.034434894,0.04445928,0.043991159,0.0435448,0.034340897,0.036813293,0.034142694,0.043148072
0.046305247,0.050873571,0.037717793,0.033099452,0.028636268,0.055723791,0.03104738,0.030025094,0.055623013,0.058134491,0.036365891,0.033954255,0.03004409,0.050683799,0.031613984,0.029197648,0.042057295,0.035967473,0.049876622,0.036867592,0.046076692,0.050174501,0.042634285,0.047531221,0.035241319,0.027197083,0.051435764,0.039890399,0.03064085,0.039185393,0.035369839,0.029062243,0.021205722,0.048707933,0.031128816,0.056998421,0.051443975,0.047267331,0.034920584,0.043077288,0.043858334,0.044270307,0.051886658,0.043464277,0.035526369,0.027960849,0.034076691,0.035603976,0.02933547,0.043849755,0.028717086,0.045940886,0.032444108,0.03180429,0.039408,0.031691053,0.043890085,0.041853193,0.034532282,0.044485589,0.044263534,0.043435141,0.03438427,0.03699585,0.033899844,0.042682399
0.046274659,0.050762802,0.037352902,0.033150448,0.028736759,0.055789662,0.030726422,0.029890056,0.055400099,0.058172293,0.036246513,0.033986882,0.029899718,0.050719084,0.031632993,0.029336272,0.041837307,0.036042613,0.049757087,0.036865232,0.045988123,0.050267422,0.042597711,0.047613841,0.035187168,0.027117879,0.051453871,0.039995874,0.030715423,0.038986322,0.035512523,0.029293087,0.021351922,0.048818788,0.031445081,0.05711456,0.050534205,0.04632292,0.03392427,0.042763253,0.043856547,0.044206061,0.051544118,0.043216242,0.035649442,0.028106857,0.03415379,0.035652413,0.029160151,0.043490447,0.028581378,0.045513878,0.032461473,0.031838571,0.039153684,0.031526924,0.043724699,0.041457238,0.034599002,0.044313798,0.044396453,0.04361579,0.034698505,0.036944931,0.033802524,0.042478329
0.046085154,0.050568619,0.037077522,0.033209959,0.028734294,0.055764971,0.030623899,0.029749824,0.055377845,0.058324852,0.035971085,0.033840357,0.029904813,0.050664076,0.031636712,0.029136609,0.041526021,0.036203497,0.049512104,0.036762411,0.045746883,0.050248461,0.042532,0.047562971,0.03487242,0.02676335,0.051234645,0.039963866,0.030544339,0.038667819,0.035685871,0.02955195,0.021507648,0.048927725,0.03170052,0.05720871,0.050500837,0.046045386,0.033688441,0.042444826,0.04348297,0.043787029,0.051358438,0.043003243,0.03559148,0.02810867,0.03408049,0.035649613,0.029049811,0.043302325,0.028478943,0.04527866,0.032284058,0.031680654,0.038812231,0.031358889,0.043537006,0.04108478,0.034490747,0.044020344,0.044134791,0.043453324,0.034615943,0.036502438,0.033371273,0.042180262
0.04601717,0.050564149,0.037219394,0.033227579,0.028501881,0.055594762,0.030724145,0.029643959,0.055424971,0.058159304,0.035946221,0.03358622,0.030079583,0.050564957,0.031710453,0.028690793,0.041345189,0.036239785,0.04928505,0.03660057,0.045627391,0.050065395,0.042451292,0.047365059,0.034594707,0.02654028,0.050912558,0.039883246,0.030331626,0.03865927,0.035621465,0.029449472,0.021407603,0.048763508,0.031595358,0.057030105,0.051289418,0.046590611,0.034356217,0.04228092,0.043084662,0.042881347,0.051549467,0.043098568,0.035188178,0.028070149,0.033994373,0.035538654,0.028831677,0.043268219,0.028391277,0.045309926,0.032040866,0.031429159,0.03870329,0.031610319,0.043557532,0.041300573,0.034201464,0.043753234,0.043600112,0.042811208,0.033931392,0.035878534,0.032577206,0.041702789
0.046239473,0.05065147,0.037273671,0.033241294,0.028408852,0.055398377,0.030321027,0.029575118,0.055092281,0.057923223,0.036109306,0.034007979,0.030004294,0.050482191,0.031641682,0.028854774,0.041672313,0.036448251,0.049002769,0.036533222,0.045365908,0.04978748,0.042253678,0.047151884,0.034591634,0.026605083,0.05089778,0.039823953,0.030443443,0.038557383,0.035310302,0.028943757,0.021046685,0.048529691,0.031156941,0.056620507,0.050793863,0.046186491,0.034264354,0.04245913,0.043559482,0.043168861,0.051354418,0.042910888,0.035272633,0.028050766,0.033788849,0.035393002,0.028743924,0.043241577,0.028549035,0.045401446,0.032184764,0.031604261,0.038490634,0.031760704,0.043539599,0.041225336,0.033980652,0.043703089,0.043380675,0.042736171,0.033425659,0.035959625,0.032717,0.041909478
0.046344757,0.050498203,0.03747165,0.033347721,0.028669333,0.055421517,0.030363958,0.029444922,0.05521442,0.057992433,0.035913279,0.033887191,0.029905287,0.050396278,0.031495771,0.029222124,0.041885949,0.035943949,0.049378382,0.036798697,0.045440421,0.050144681,0.042645945,0.047447772,0.034544248,0.026604735,0.050891945,0.039733873,0.030486393,0.038482268,0.03522175,0.028821738,0.020984119,0.048533203,0.031239081,0.056591118,0.050889644,0.046014787,0.034161011,0.042377606,0.043315667,0.043102152,0.051188399,0.042944668,0.03545661,0.028165795,0.034021269,0.035421458,0.028793731,0.043277661,0.028662127,0.04536996,0.032136581,0.031707746,0.038517071,0.031800058,0.043666407,0.041361745,0.033927558,0.043578731,0.043663384,0.043285095,0.033943159,0.03558858,0.032823366,0.041855861
