A20WT1_1130,A20WT2_1130,A20WT3_1130,A20WT1_1230,A20WT2_1230,A20WT3_1230,A20WT1_1630,A20WT2_1630,A20WT3_1630,A20MG1_1130,A20MG2_1130,A20MG3_1130,A20MG1_1230,A20MG2_1230,A20MG3_1230,A20MG1_1630,A20MG2_1630,A20MG3_1630,A21WT1_1130,A21WT2_1130,A21WT3_1130,A21WT4_1130,A21WT5_1130,A21WT6_1130,A21WT1_1330,A21WT3_1330,A21WT2_1330,A21WT4_1330,A21WT5_1330,A21WT6_1330,A21WT1_1530,A21WT2_1530,A21WT3_1530,A21WT4_1530,A21WT5_1530,A21WT6_1530,A21WT1_1800,A21WT2_1800,A21WT3_1800,A21WT4_1800,A21WT5_1800,A21WT6_1800,A21MG1_1130,A21MG2_1130,A21MG3_1130,A21MG4_1130,A21MG5_1130,A21MG6_1130,A21MG1_1330,A21MG2_1330,A21MG3_1330,A21MG4_1330,A21MG5_1330,A21MG6_1330,A21MG1_1530,A21MG2_1530,A21MG3_1530,A21MG4_1530,A21MG5_1530,A21MG6_1530,A21MG1_1800,A21MG2_1800,A21MG3_1800,A21MG4_1800,A21MG5_1800,A21MG6_1800
0.001706284,0.001253317,0.000988509,0.001186205,0.001111527,0.001565352,0.001582006,0.0008028,0.000878193,0.001027766,0.001698713,0.001226305,0.001302946,0.003385976,0.001387444,0.001399335,0.002217659,0.002083395,0.001419001,0.00090233,0.00140661,0.001596695,0.001538833,0.000754787,0.000794581,0.000642286,0.000981321,0.001135747,0.001012694,0.000984199,0.000550964,0.000292846,0.000391836,0.000645535,0.000657037,0.000491037,0.002196809,0.002765219,0.002131357,0.002446509,0.00318418,0.002856471,0.002882819,0.001175365,0.001347571,0.000252744,0.000237915,0.00016874,0.000272656,0.00017934,0.001325498,0.000132008,0.001367093,0.001353578,0.002235738,0.001477387,0.001944377,0.001660246,0.002022441,0.002395786,0.004410048,0.003988724,0.002876351,0.003843191,0.003187816,0.003385573
0.001486134,0.001248231,0.000907234,0.001051211,0.001120302,0.001508035,0.001714315,0.001077624,0.001228844,0.001112577,0.001957735,0.001380448,0.001505374,0.003667761,0.001528962,0.001049075,0.002196656,0.001671774,0.00124171,0.001106811,0.001065602,0.001349843,0.001141982,0.000802101,0.000732224,0.000537353,0.000913214,0.001007233,0.000798039,0.000718109,0.000477967,0.000559219,0.000437225,0.000747018,0.000809108,0.000653111,0.001148921,0.001959097,0.00089301,0.002011325,0.003042569,0.002266302,0.003200797,0.001301654,0.001482903,0.00020686,0.000326338,0.000119241,0.000694524,0.000408287,0.001492226,0.000426196,0.001365603,0.001368795,0.002030725,0.001329974,0.001835927,0.00148712,0.001773438,0.00228602,0.004401862,0.003725876,0.003140411,0.003440298,0.002826023,0.002930716
0.001052935,0.000989143,0.000783338,0.000903284,0.001059179,0.001173384,0.001868296,0.00126858,0.001358807,0.001310497,0.002054001,0.001370971,0.001394004,0.003786842,0.001457455,0.001017918,0.002297583,0.00151599,0.001037508,0.000997958,0.000797801,0.000975384,0.000777236,0.000629887,0.000508636,0.000347966,0.000720348,0.000875809,0.000571583,0.000482174,0.000393585,0.000674634,0.000394538,0.000811677,0.000874334,0.000725055,0.001110389,0.002052896,0.000553356,0.001991967,0.002863889,0.001987828,0.00328037,0.001473113,0.001681592,-0.000306082,-0.000129327,-0.000233769,0.001045723,0.000580321,0.001708717,0.000565217,0.001382539,0.00133034,0.001967327,0.001319201,0.001921988,0.001412389,0.00150392,0.002255706,0.004248997,0.003414693,0.00305362,0.003219943,0.00268085,0.002766883
0.000825007,0.000739516,0.000860547,0.000861328,0.000897006,0.000871565,0.001948987,0.001296261,0.001303992,0.001257686,0.00185975,0.001237763,0.001081024,0.003661016,0.001294428,0.001230851,0.002361163,0.001711955,0.001003146,0.000721577,0.000916186,0.000917313,0.000889048,0.000540506,0.000469266,0.00038685,0.000703653,0.001014705,0.000663462,0.000640454,0.000431709,0.00060403,0.000359226,0.000873787,0.000827676,0.000617489,0.002161838,0.002981998,0.001425282,0.002290576,0.002761464,0.002237347,0.002911092,0.001404902,0.001596304,-0.000746626,-0.000653765,-0.000471563,0.000908182,0.000525671,0.001662094,0.000374607,0.001343016,0.001240777,0.002172544,0.001547847,0.002180625,0.001594695,0.001555941,0.00232449,0.00389093,0.00321802,0.00243764,0.003428726,0.002986466,0.003124935
0.001077791,0.001097815,0.001132761,0.000754085,0.000603383,0.000923632,0.001541274,0.00093728,0.000912977,0.000589773,0.00193056,0.00146091,0.001216382,0.003795054,0.001368236,0.001549533,0.00249812,0.001502915,0.001014418,0.000973327,0.001096757,0.000969771,0.000995557,0.000811171,0.000841675,0.00068514,0.001126853,0.001226346,0.001037923,0.000928334,0.000343933,0.000424018,0.000384524,0.000852679,0.000635144,0.00059649,0.002182623,0.002093674,0.001572237,0.002101271,0.002630914,0.002325022,0.003060743,0.001547279,0.001626741,-0.000491675,-0.000378831,-0.000225382,0.000665758,0.000145044,0.001371089,0.000170333,0.001396438,0.001295446,0.002480072,0.001934392,0.002377768,0.001716742,0.00166949,0.002215042,0.003568535,0.00317476,0.001943233,0.003303912,0.002285451,0.003256606
0.001211116,0.001150536,0.000850063,0.000732509,0.000841881,0.001097691,0.00144137,0.00071548,0.000757459,0.000852992,0.002107081,0.001562643,0.001330845,0.004062779,0.001418681,0.001710908,0.002707829,0.001868712,0.00111102,0.00104824,0.001057674,0.00107873,0.000954525,0.000825213,0.001030795,0.000830423,0.001178302,0.001251174,0.001075618,0.000980436,0.000566089,0.000594984,0.000478218,0.000999687,0.000672978,0.000859584,0.00135801,0.001064326,0.000939922,0.001955978,0.002825754,0.002212967,0.003259989,0.001293846,0.001697426,-0.0002478,-0.000263841,-0.000247827,0.000391982,-0.000116269,0.001148297,-0.000115816,0.00138972,0.001346626,0.002125311,0.001814797,0.002080903,0.001418062,0.001737752,0.002062626,0.003861477,0.003470772,0.002128843,0.003554722,0.002531758,0.00280872
0.001104916,0.000948049,0.000528697,0.000709057,0.00099581,0.001036163,0.001513322,0.000666552,0.00091372,0.001092858,0.002102055,0.001469669,0.001344458,0.004286283,0.001400574,0.00147774,0.002745258,0.002144211,0.001146391,0.000990979,0.000992188,0.001127649,0.000931217,0.000725269,0.000905587,0.000676565,0.000927124,0.001149249,0.000865284,0.000736872,0.00080045,0.000795022,0.000569735,0.001036342,0.000716368,0.001125763,0.00084381,0.000969978,0.000610651,0.001652603,0.002392545,0.001959091,0.003226315,0.001191907,0.001659651,-0.000237781,-0.000366134,-0.00040149,0.000297001,-0.00017459,0.001126941,-0.000269438,0.001343904,0.001201174,0.001832514,0.00157765,0.001850792,0.001292985,0.001669307,0.001970972,0.003823599,0.003482227,0.002304283,0.00334931,0.002676094,0.002219993
0.000931991,0.000788953,0.000573078,0.000640374,0.000715629,0.00072479,0.001504174,0.000679899,0.001162954,0.000696217,0.001906135,0.001323183,0.00130578,0.004426937,0.001386324,0.00100731,0.002628653,0.001978393,0.001022645,0.000874274,0.00095453,0.001027674,0.000971722,0.000647162,0.000607146,0.000378281,0.000655573,0.001042968,0.000661181,0.000398608,0.000775831,0.000728171,0.000580497,0.000822017,0.000589626,0.001109842,0.00117674,0.001813475,0.001116553,0.00125601,0.001299214,0.001698207,0.002958231,0.001434555,0.001520092,-0.000422165,-0.000525618,-0.000464996,0.00038845,-0.000134679,0.001263359,-0.000215451,0.001288568,0.000901381,0.00204975,0.001573131,0.002036443,0.001595211,0.001476658,0.001948495,0.003083292,0.002943378,0.001988467,0.002490912,0.002081354,0.001883441
0.001258791,0.0010932,0.000670498,0.000648499,0.000645138,0.000848289,0.001281492,0.000561297,0.00091443,0.000675281,0.002126829,0.001540941,0.001372251,0.004758355,0.001617116,0.001173193,0.002981679,0.002281326,0.000757221,0.000477208,0.000466172,0.000702947,0.000707757,0.000370575,0.000599464,0.000555576,0.000689579,0.00102865,0.000747136,0.000520849,0.000520866,0.00042367,0.000426596,0.000651889,0.000417708,0.000666449,0.001353141,0.001831402,0.001549317,0.001624843,0.00170375,0.001651514,0.002918142,0.001073884,0.00162275,-0.000464994,-0.000525129,-0.00040841,0.000250107,-0.000318563,0.001266354,-0.000231414,0.001192033,0.000949765,0.002098581,0.001655223,0.002199659,0.001545091,0.001327432,0.001824703,0.002852075,0.002478097,0.00150112,0.002522981,0.001969664,0.001792314
0.001175286,0.00110462,0.00081128,0.000840417,0.000889796,0.001103844,0.00140027,0.000555197,0.00097222,0.000797773,0.0020254,0.001482519,0.001358923,0.00495513,0.001583172,0.001444429,0.003242711,0.001946574,0.001059464,0.000907479,0.000781263,0.001055077,0.001102771,0.000657911,0.000553744,0.00060995,0.000815381,0.00107762,0.000681344,0.000682219,0.000553216,0.000509788,0.000496191,0.000810422,0.000663048,0.000631827,0.001350046,0.001757437,0.001400934,0.001411264,0.002027717,0.001423469,0.003107235,0.001031871,0.001761829,-0.000341043,-0.000318111,-0.000283219,0.00025068,-0.0002852,0.001254507,-0.0002722,0.001211917,0.001114573,0.002352822,0.001722959,0.002298701,0.001592211,0.00138433,0.001741765,0.003627824,0.002956572,0.002155704,0.002412502,0.001973973,0.001558412
