wl,nr,Kab,Kca,Ks,Kw,Kdm,phiI,phiII,KcaV,KcaZ,Kant,phi,GSV1,GSV2,GSV3,nw
400,1.5135,0.064881,0.16734,0.527,5.80E-05,110,0,0,0.16734,0.16734,0.066675,0,0.28689,-0.09483,0.14205,1.34
401,1.5131,0.066732,0.16761,0.526,5.85E-05,104,0,0,0.16761,0.16761,0.064056,0,0.28886,-0.09637,0.14343,1.34
402,1.5126,0.068551,0.16718,0.525,5.90E-05,98,0,0,0.16718,0.16718,0.061933,0,0.29083,-0.09791,0.14478,1.34
403,1.5121,0.069982,0.16721,0.524,5.99E-05,92.4,0,0,0.16721,0.16721,0.059922,0,0.29283,-0.09943,0.14609,1.34
404,1.5116,0.0709,0.16761,0.523,6.10E-05,87.1,0,0,0.16761,0.16761,0.058277,0,0.29483,-0.10095,0.14737,1.34
405,1.5111,0.071333,0.1676,0.522,6.20E-05,82.3,0,0,0.1676,0.1676,0.056699,0,0.29686,-0.10245,0.14862,1.34
406,1.5105,0.07132,0.16751,0.521,6.30E-05,78.1,0,0,0.16751,0.16751,0.055366,0,0.2989,-0.10395,0.14985,1.34
407,1.51,0.07126,0.16743,0.52,6.40E-05,74,0,0,0.16743,0.16743,0.054163,0,0.30097,-0.10544,0.15104,1.34
408,1.5095,0.071223,0.16724,0.519,6.50E-05,70.1,0,0,0.16724,0.16724,0.053116,0,0.30307,-0.10692,0.1522,1.34
409,1.5089,0.071228,0.16668,0.518,6.60E-05,66.5,0,0,0.16668,0.16668,0.05198,0,0.3052,-0.10839,0.15334,1.34
410,1.5084,0.071491,0.16588,0.517,6.70E-05,63,0,0,0.16588,0.16588,0.050951,0,0.30735,-0.10985,0.15444,1.34
411,1.5078,0.071888,0.16552,0.516,6.79E-05,59.5,0,0,0.16552,0.16552,0.050117,0,0.30955,-0.11129,0.15552,1.34
412,1.5073,0.072018,0.16545,0.515,6.90E-05,56.2,0,0,0.16545,0.16545,0.049387,0,0.31178,-0.11273,0.15658,1.34
413,1.5068,0.071827,0.16569,0.514,7.05E-05,53,0,0,0.16569,0.16569,0.048604,0,0.31405,-0.11416,0.15761,1.34
414,1.5062,0.071493,0.16609,0.513,7.20E-05,50,0,0,0.16609,0.16609,0.047876,0,0.31637,-0.11558,0.15862,1.34
415,1.5057,0.071132,0.16619,0.512,7.31E-05,47.2,0,0,0.16619,0.16619,0.047379,0,0.31873,-0.11698,0.1596,1.34
416,1.5052,0.070763,0.16629,0.511,7.40E-05,44.6,0,0,0.16629,0.16629,0.046899,0,0.32114,-0.11838,0.16056,1.34
417,1.5047,0.070437,0.16646,0.51,7.49E-05,42.2,0,0,0.16646,0.16646,0.046532,0,0.32361,-0.11976,0.1615,1.34
418,1.5043,0.070094,0.16662,0.509,7.60E-05,40,0,0,0.16662,0.16662,0.046157,0,0.32612,-0.12113,0.16242,1.34
419,1.5038,0.06984,0.16687,0.508,7.74E-05,37.8,0,0,0.16687,0.16687,0.045792,0,0.3287,-0.12249,0.16331,1.34
420,1.5034,0.069819,0.16716,0.507,7.90E-05,35.7,0,0,0.16716,0.16716,0.045429,0,0.33134,-0.12384,0.16419,1.34
421,1.503,0.070054,0.16754,0.506,8.06E-05,33.6,0,0,0.16754,0.16754,0.045144,0,0.33404,-0.12518,0.16505,1.34
422,1.5026,0.070281,0.16798,0.505,8.20E-05,31.7,0,0,0.16798,0.16798,0.044845,0,0.33681,-0.12651,0.16589,1.34
423,1.5023,0.070503,0.16844,0.504,8.30E-05,29.9,0,0,0.16844,0.16844,0.044536,0,0.33964,-0.12783,0.1667,1.34
424,1.502,0.070473,0.1686,0.503,8.40E-05,28.3,0,0,0.1686,0.1686,0.044249,0,0.34255,-0.12914,0.1675,1.34
425,1.5016,0.070528,0.16847,0.502,8.55E-05,26.8,0,0,0.16847,0.16847,0.044116,0,0.34554,-0.13044,0.16827,1.34
426,1.5013,0.070809,0.16814,0.501,8.70E-05,25.4,0,0,0.16814,0.16814,0.043958,0,0.3486,-0.13175,0.16902,1.34
427,1.5011,0.071312,0.168,0.5,8.80E-05,24,0,0,0.168,0.168,0.043874,0,0.35174,-0.13305,0.16975,1.34
428,1.5008,0.071622,0.16773,0.499,8.90E-05,22.8,0,0,0.16773,0.16773,0.043805,0,0.35496,-0.13434,0.17045,1.34
429,1.5005,0.071905,0.16741,0.498,9.05E-05,21.5,0,0,0.16741,0.16741,0.043858,0,0.35827,-0.13564,0.17113,1.34
430,1.5003,0.072449,0.16755,0.497,9.20E-05,20.2,0,0,0.16755,0.16755,0.043861,0,0.36167,-0.13694,0.17177,1.34
431,1.5,0.073091,0.16774,0.496,9.30E-05,19,0,0,0.16774,0.16774,0.043912,0,0.36516,-0.13824,0.1724,1.34
432,1.4998,0.073652,0.16791,0.495,9.40E-05,17.9,0,0,0.16791,0.16791,0.043959,0,0.36872,-0.13955,0.173,1.34
433,1.4995,0.074047,0.16797,0.494,9.55E-05,16.8,0,0,0.16797,0.16797,0.044037,0,0.37234,-0.14086,0.17358,1.34
434,1.4993,0.074335,0.16794,0.492,9.70E-05,15.8,0,0,0.16794,0.16794,0.04411,0,0.376,-0.14217,0.17416,1.34
435,1.4991,0.074542,0.16797,0.491,9.80E-05,14.8,0,0,0.16797,0.16797,0.044203,0,0.37968,-0.14348,0.17473,1.34
436,1.4988,0.074691,0.16818,0.49,9.90E-05,13.9,0,0,0.16818,0.16818,0.044277,0,0.38337,-0.14479,0.1753,1.34
437,1.4986,0.074653,0.16832,0.489,0.000101,13.1,0,0,0.16832,0.16832,0.044399,0,0.38705,-0.1461,0.17588,1.34
438,1.4984,0.07457,0.1687,0.488,0.000102,12.3,0,0,0.1687,0.1687,0.04451,0,0.3907,-0.14741,0.17648,1.34
439,1.4981,0.074285,0.16916,0.486,0.000103,11.6,0,0,0.16916,0.16916,0.044647,0,0.39431,-0.14871,0.17709,1.34
440,1.4979,0.073794,0.16957,0.485,0.000104,11,0,0,0.16957,0.16957,0.044787,0,0.39785,-0.15002,0.17773,1.34
441,1.4977,0.072818,0.16968,0.484,0.000105,10.4,0,0,0.16968,0.16968,0.044919,0,0.40132,-0.15132,0.1784,1.34
442,1.4974,0.071622,0.16963,0.483,0.000106,9.92,0,0,0.16963,0.16963,0.045061,0,0.40471,-0.15262,0.17911,1.34
443,1.4972,0.070459,0.1699,0.482,0.000107,9.41,0,0,0.1699,0.1699,0.045227,0,0.408,-0.15391,0.17985,1.34
444,1.4969,0.069105,0.16991,0.481,0.000108,8.95,0,0,0.16991,0.16991,0.045415,0,0.41119,-0.1552,0.18063,1.34
445,1.4967,0.067568,0.16981,0.479,0.000109,8.51,0,0,0.16981,0.16981,0.045589,0,0.41428,-0.15649,0.18145,1.34
446,1.4965,0.066026,0.16977,0.478,0.00011,8.09,0,0,0.16977,0.16977,0.045753,0,0.41725,-0.15777,0.18232,1.34
447,1.4962,0.064492,0.16973,0.477,0.000111,7.64,0,0,0.16973,0.16973,0.045857,0,0.42009,-0.15905,0.18324,1.34
448,1.496,0.062668,0.16935,0.476,0.000112,7.27,0,0,0.16935,0.16935,0.045994,0,0.42281,-0.16032,0.1842,1.34
449,1.4958,0.060755,0.16857,0.475,0.000113,6.94,0,0,0.16857,0.16857,0.046195,0,0.42539,-0.16159,0.18522,1.34
450,1.4955,0.058775,0.16744,0.473,0.000114,6.66,0,0,0.16744,0.16744,0.046414,0,0.42783,-0.16285,0.18629,1.34
451,1.4953,0.056778,0.16602,0.472,0.000115,6.42,0,0,0.16602,0.16602,0.04668,0,0.43011,-0.16411,0.18742,1.34
452,1.4951,0.054732,0.16446,0.471,0.000116,6.22,0,0,0.16446,0.16446,0.046953,0,0.43226,-0.16536,0.1886,1.34
453,1.4949,0.052844,0.1629,0.47,0.000117,6.01,0,0,0.1629,0.1629,0.047162,0,0.43427,-0.1666,0.18983,1.34
