%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=210463, 2022/07/14 11:16:34.63)
1 9 1.009107e+02 0 0 2.619700e+01 9.523022e+01 2.895090e-01 2.808918e-01 
2 17 1.093645e+02 0 0 2.714494e+01 1.074888e+02 3.327416e-01 3.014476e-01 
3 25 8.721636e+01 0 0 2.056933e+01 8.202456e+01 2.542073e-01 2.280797e-01 
4 33 9.063056e+01 0 0 2.283562e+01 8.338135e+01 2.786427e-01 2.258579e-01 
5 41 8.474818e+01 0 0 2.082485e+01 7.485357e+01 2.548351e-01 2.006981e-01 
6 49 7.400101e+01 0 0 1.777031e+01 6.293340e+01 2.239375e-01 1.664488e-01 
7 57 6.951368e+01 0 0 1.686527e+01 5.653064e+01 2.023631e-01 1.526769e-01 
8 65 6.197615e+01 0 0 1.478509e+01 5.251124e+01 1.749764e-01 1.285515e-01 
9 73 5.878312e+01 0 0 1.383722e+01 4.788027e+01 1.599241e-01 1.199209e-01 
10 81 6.809120e+01 0 0 1.586338e+01 5.297880e+01 2.011748e-01 1.444971e-01 
11 89 6.501355e+01 0 0 1.448652e+01 4.798946e+01 1.928582e-01 1.306263e-01 
12 97 6.576683e+01 0 0 1.393841e+01 4.597904e+01 2.077803e-01 1.249630e-01 
13 105 6.430496e+01 0 0 1.316044e+01 4.240745e+01 1.976716e-01 1.261343e-01 
14 113 5.954090e+01 0 0 1.184013e+01 3.835721e+01 1.820790e-01 1.113656e-01 
15 121 5.209161e+01 0 0 9.854048e+00 3.232896e+01 1.604870e-01 9.667347e-02 
16 129 4.332315e+01 0 0 7.834039e+00 2.565358e+01 1.297416e-01 7.729654e-02 
17 137 4.059564e+01 0 0 7.035015e+00 2.265173e+01 1.151941e-01 7.591133e-02 
18 145 3.416732e+01 0 0 5.653884e+00 1.843788e+01 9.316857e-02 6.189531e-02 
19 153 2.868581e+01 0 0 4.575177e+00 1.460704e+01 7.541592e-02 4.958849e-02 
20 161 2.727793e+01 0 0 4.201509e+00 1.330114e+01 7.345995e-02 4.604345e-02 
21 169 2.818252e+01 0 0 4.307633e+00 1.297947e+01 8.014889e-02 4.542254e-02 
22 177 2.344799e+01 0 0 3.400316e+00 1.027288e+01 6.337361e-02 3.563136e-02 
23 185 2.090148e+01 0 0 3.004932e+00 8.779024e+00 5.440862e-02 3.042645e-02 
24 193 1.840492e+01 0 0 2.503326e+00 7.274042e+00 4.909499e-02 2.539431e-02 
25 201 1.590985e+01 0 0 2.080896e+00 6.104766e+00 4.038356e-02 2.069674e-02 
26 209 1.451583e+01 0 0 1.819932e+00 5.376012e+00 3.726092e-02 1.829206e-02 
27 217 1.248065e+01 0 0 1.485461e+00 4.461237e+00 3.055754e-02 1.479362e-02 
28 225 1.135189e+01 0 0 1.374336e+00 3.999476e+00 2.683013e-02 1.285359e-02 
29 233 1.018859e+01 0 0 1.174440e+00 3.402177e+00 2.422560e-02 1.103975e-02 
30 241 8.879695e+00 0 0 9.766916e-01 2.812226e+00 2.049795e-02 9.153947e-03 
31 249 8.292977e+00 0 0 8.826953e-01 2.504527e+00 1.923140e-02 8.325472e-03 
32 257 8.137876e+00 0 0 8.274091e-01 2.317328e+00 1.951557e-02 7.892452e-03 
33 265 7.492353e+00 0 0 7.553292e-01 2.061318e+00 1.741929e-02 6.961508e-03 
34 273 6.910304e+00 0 0 6.584777e-01 1.812262e+00 1.615688e-02 6.121284e-03 
35 281 5.740350e+00 0 0 5.248941e-01 1.419738e+00 1.273192e-02 4.860876e-03 
36 289 5.253852e+00 0 0 4.588730e-01 1.234665e+00 1.201335e-02 4.361116e-03 
37 297 4.704466e+00 0 0 3.876988e-01 1.050992e+00 1.054040e-02 3.764175e-03 
38 305 4.111395e+00 0 0 3.250654e-01 8.699494e-01 8.996198e-03 3.133139e-03 
39 313 3.345234e+00 0 0 2.527996e-01 6.786279e-01 7.024337e-03 2.536920e-03 
40 321 3.183245e+00 0 0 2.298269e-01 6.286046e-01 6.886827e-03 2.280991e-03 
41 329 3.120553e+00 0 0 2.149010e-01 5.935046e-01 6.690079e-03 2.238832e-03 
42 337 3.127842e+00 0 0 2.044945e-01 5.933563e-01 6.372883e-03 2.227774e-03 
43 345 3.328444e+00 0 0 2.152883e-01 6.037293e-01 7.049925e-03 2.461070e-03 
44 353 3.482956e+00 0 0 2.156330e-01 5.953440e-01 7.650364e-03 2.547554e-03 
45 361 4.336041e+00 0 0 2.536550e-01 7.020624e-01 1.126614e-02 3.514148e-03 
46 369 4.486756e+00 0 0 2.540845e-01 7.153349e-01 1.174461e-02 3.503262e-03 
47 377 5.230684e+00 0 0 2.837633e-01 7.965583e-01 1.568037e-02 3.917672e-03 
48 385 5.970117e+00 0 0 3.083664e-01 9.087391e-01 1.986875e-02 4.388886e-03 
49 393 6.370285e+00 0 0 3.128994e-01 9.152187e-01 2.253238e-02 4.472330e-03 
50 401 5.852484e+00 0 0 2.790016e-01 7.973085e-01 2.017486e-02 3.933555e-03 
51 409 5.609764e+00 0 0 2.562031e-01 7.609514e-01 1.907020e-02 3.951571e-03 
52 417 7.099198e+00 0 0 3.061874e-01 9.602875e-01 3.049468e-02 6.023878e-03 
53 425 7.547905e+00 0 0 3.129537e-01 9.792306e-01 3.400848e-02 6.555291e-03 
54 433 1.050060e+01 0 0 4.228519e-01 1.345787e+00 4.995429e-02 9.056882e-03 
55 441 1.440172e+01 0 0 5.648674e-01 1.790895e+00 6.808681e-02 1.205180e-02 
56 449 1.651549e+01 0 0 6.585340e-01 1.935450e+00 7.604392e-02 1.391563e-02 
57 457 1.998428e+01 0 0 7.587760e-01 2.225699e+00 1.001104e-01 1.652578e-02 
58 465 2.143734e+01 0 0 7.892328e-01 2.251407e+00 1.106213e-01 1.762409e-02 
59 473 2.100838e+01 0 0 7.481697e-01 2.093922e+00 1.083704e-01 1.734996e-02 
60 481 2.090978e+01 0 0 7.034958e-01 1.988921e+00 1.119371e-01 1.743629e-02 
61 489 2.230434e+01 0 0 7.127094e-01 2.072071e+00 1.294488e-01 1.887959e-02 
62 497 2.227356e+01 0 0 6.736075e-01 2.030677e+00 1.279646e-01 1.815059e-02 
63 505 1.923930e+01 0 0 5.610367e-01 1.688890e+00 1.057424e-01 1.494778e-02 
64 513 1.758653e+01 0 0 4.944646e-01 1.464416e+00 9.627765e-02 1.336344e-02 
