%  columns="iteration, evaluation, void, void, void, xmean" (startseed=210463, 2022/07/14 11:16:34.63)
0 1 0 0 0 5.000000e+01 1.750000e+02 1.000000e+00 1.000000e+00 
1 9 0 0 0 2.712858e+01 1.841523e+02 1.187677e+00 8.300873e-01 
2 17 0 0 0 2.709572e+01 2.810462e+02 8.056811e-01 7.126668e-01 
3 25 0 0 0 3.051847e+01 2.392311e+02 9.377125e-01 7.577509e-01 
4 33 0 0 0 5.516338e+01 2.441398e+02 6.995923e-01 8.210090e-01 
5 41 0 0 0 4.756846e+01 2.071877e+02 6.278459e-01 8.557967e-01 
6 49 0 0 0 5.297250e+01 1.846029e+02 8.581836e-01 7.936484e-01 
7 57 0 0 0 6.392823e+01 1.810650e+02 9.075580e-01 7.636928e-01 
8 65 0 0 0 5.573223e+01 2.390048e+02 7.983955e-01 7.621075e-01 
9 73 0 0 0 4.780462e+01 2.012984e+02 7.370870e-01 8.556857e-01 
10 81 0 0 0 4.152820e+01 2.071619e+02 5.670599e-01 7.157353e-01 
11 89 0 0 0 4.744217e+01 2.081796e+02 5.045382e-01 7.624924e-01 
12 97 0 0 0 4.510798e+01 2.051759e+02 3.520645e-01 7.701142e-01 
13 105 0 0 0 3.896333e+01 1.984049e+02 3.348232e-01 6.659563e-01 
14 113 0 0 0 3.548608e+01 2.162856e+02 2.406408e-01 6.810382e-01 
15 121 0 0 0 3.930666e+01 1.943976e+02 4.379947e-01 7.553208e-01 
16 129 0 0 0 4.252168e+01 1.958295e+02 4.377411e-01 7.029682e-01 
17 137 0 0 0 3.842735e+01 2.006736e+02 3.900375e-01 6.311624e-01 
18 145 0 0 0 3.886021e+01 2.088047e+02 3.639565e-01 6.361235e-01 
19 153 0 0 0 3.645346e+01 2.074214e+02 3.535878e-01 6.634850e-01 
20 161 0 0 0 3.520994e+01 2.120622e+02 2.944410e-01 6.726918e-01 
21 169 0 0 0 3.908391e+01 2.089516e+02 2.539919e-01 6.671795e-01 
22 177 0 0 0 3.854223e+01 2.047106e+02 2.762668e-01 6.676937e-01 
23 185 0 0 0 3.585874e+01 2.098788e+02 3.112138e-01 6.707690e-01 
24 193 0 0 0 3.695707e+01 2.088564e+02 3.428950e-01 6.738386e-01 
25 201 0 0 0 3.577979e+01 2.128371e+02 3.330235e-01 6.749633e-01 
26 209 0 0 0 3.544559e+01 2.141041e+02 3.569205e-01 6.736671e-01 
27 217 0 0 0 3.542936e+01 2.154511e+02 3.599837e-01 6.737509e-01 
28 225 0 0 0 3.688247e+01 2.115905e+02 3.496646e-01 6.792551e-01 
29 233 0 0 0 3.615771e+01 2.130923e+02 3.281773e-01 6.776563e-01 
30 241 0 0 0 3.659665e+01 2.120824e+02 3.237707e-01 6.798748e-01 
31 249 0 0 0 3.609495e+01 2.128629e+02 3.115211e-01 6.801792e-01 
32 257 0 0 0 3.586569e+01 2.124859e+02 2.988096e-01 6.787341e-01 
33 265 0 0 0 3.655307e+01 2.116513e+02 2.971706e-01 6.819034e-01 
34 273 0 0 0 3.631155e+01 2.126510e+02 2.875912e-01 6.786821e-01 
35 281 0 0 0 3.614960e+01 2.123610e+02 2.895798e-01 6.810621e-01 
36 289 0 0 0 3.638955e+01 2.119397e+02 3.019457e-01 6.835261e-01 
37 297 0 0 0 3.640568e+01 2.117971e+02 3.058377e-01 6.845695e-01 
38 305 0 0 0 3.653470e+01 2.121152e+02 2.972580e-01 6.843726e-01 
39 313 0 0 0 3.655726e+01 2.119802e+02 2.986502e-01 6.852463e-01 
40 321 0 0 0 3.643987e+01 2.116016e+02 3.046615e-01 6.847521e-01 
41 329 0 0 0 3.654603e+01 2.114920e+02 3.066729e-01 6.831843e-01 
42 337 0 0 0 3.655518e+01 2.120298e+02 3.064138e-01 6.822829e-01 
43 345 0 0 0 3.662598e+01 2.120708e+02 3.120080e-01 6.849808e-01 
44 353 0 0 0 3.650449e+01 2.120212e+02 3.164365e-01 6.859273e-01 
45 361 0 0 0 3.650236e+01 2.121143e+02 3.261011e-01 6.886462e-01 
46 369 0 0 0 3.639835e+01 2.125380e+02 3.286228e-01 6.876380e-01 
47 377 0 0 0 3.652445e+01 2.121352e+02 3.420058e-01 6.879958e-01 
48 385 0 0 0 3.653853e+01 2.116955e+02 3.547116e-01 6.897823e-01 
49 393 0 0 0 3.646897e+01 2.119856e+02 3.656723e-01 6.893794e-01 
50 401 0 0 0 3.635645e+01 2.117800e+02 3.668420e-01 6.904348e-01 
51 409 0 0 0 3.632655e+01 2.123758e+02 3.740149e-01 6.926174e-01 
52 417 0 0 0 3.633981e+01 2.125246e+02 4.045065e-01 6.984197e-01 
53 425 0 0 0 3.621852e+01 2.127509e+02 4.178117e-01 6.992595e-01 
54 433 0 0 0 3.626526e+01 2.120993e+02 4.710748e-01 7.017890e-01 
55 441 0 0 0 3.624341e+01 2.125649e+02 5.097440e-01 6.998777e-01 
56 449 0 0 0 3.677830e+01 2.125017e+02 5.341418e-01 7.069946e-01 
57 457 0 0 0 3.667901e+01 2.129238e+02 6.180575e-01 7.122392e-01 
58 465 0 0 0 3.699780e+01 2.126385e+02 6.626733e-01 7.180832e-01 
59 473 0 0 0 3.644724e+01 2.128427e+02 7.022339e-01 7.272566e-01 
60 481 0 0 0 3.648503e+01 2.120896e+02 7.607289e-01 7.357726e-01 
61 489 0 0 0 3.665068e+01 2.134234e+02 8.615298e-01 7.449980e-01 
62 497 0 0 0 3.649450e+01 2.143378e+02 8.862756e-01 7.423816e-01 
63 505 0 0 0 3.635337e+01 2.143211e+02 8.793318e-01 7.405183e-01 
64 513 0 0 0 3.665537e+01 2.140160e+02 9.414041e-01 7.480672e-01 
65 521 0 0 0 3.650223e+01 2.138331e+02 9.262097e-01 7.453259e-01 
66 529 0 0 0 3.675573e+01 2.133211e+02 9.015247e-01 7.449753e-01 
67 537 0 0 0 3.665358e+01 2.129219e+02 9.650753e-01 7.474843e-01 
68 545 0 0 0 3.657191e+01 2.128205e+02 9.758653e-01 7.503017e-01 
69 553 0 0 0 3.652551e+01 2.126749e+02 9.352487e-01 7.436703e-01 
70 561 0 0 0 3.646768e+01 2.131367e+02 9.520354e-01 7.431357e-01 
71 569 0 0 0 3.650990e+01 2.128177e+02 9.889734e-01 7.468735e-01 
72 577 0 0 0 3.643574e+01 2.133864e+02 9.815477e-01 7.463837e-01 
73 585 0 0 0 3.644078e+01 2.136238e+02 9.758717e-01 7.449192e-01 
74 593 0 0 0 3.643133e+01 2.135760e+02 9.897663e-01 7.483051e-01 
75 601 0 0 0 3.643449e+01 2.134127e+02 9.902706e-01 7.485468e-01 
76 609 0 0 0 3.656638e+01 2.133569e+02 9.884005e-01 7.473966e-01 
77 617 0 0 0 3.650521e+01 2.132252e+02 9.802324e-01 7.460592e-01 
78 625 0 0 0 3.652627e+01 2.131505e+02 9.916359e-01 7.476976e-01 
79 633 0 0 0 3.639853e+01 2.131283e+02 9.889173e-01 7.466594e-01 
80 641 0 0 0 3.650343e+01 2.131046e+02 9.844535e-01 7.457188e-01 
81 649 0 0 0 3.653853e+01 2.131828e+02 9.838712e-01 7.456122e-01 
82 657 0 0 0 3.656818e+01 2.131547e+02 9.868448e-01 7.460901e-01 
83 665 0 0 0 3.655502e+01 2.131312e+02 9.958698e-01 7.468480e-01 
84 673 0 0 0 3.653763e+01 2.130373e+02 9.961978e-01 7.456380e-01 
85 681 0 0 0 3.656345e+01 2.131713e+02 9.938281e-01 7.453894e-01 
86 689 0 0 0 3.651827e+01 2.132048e+02 9.961426e-01 7.445655e-01 
87 697 0 0 0 3.653029e+01 2.130585e+02 9.978840e-01 7.445253e-01 
88 705 0 0 0 3.658470e+01 2.131063e+02 9.944955e-01 7.453054e-01 
89 713 0 0 0 3.659492e+01 2.130837e+02 9.917741e-01 7.443690e-01 
90 721 0 0 0 3.662197e+01 2.130494e+02 9.926826e-01 7.437427e-01 
91 729 0 0 0 3.660534e+01 2.130804e+02 9.961254e-01 7.434201e-01 
92 737 0 0 0 3.656347e+01 2.131391e+02 9.973937e-01 7.440010e-01 
93 745 0 0 0 3.657026e+01 2.131379e+02 9.977593e-01 7.437750e-01 
94 753 0 0 0 3.651852e+01 2.131208e+02 9.972730e-01 7.434240e-01 
95 761 0 0 0 3.651608e+01 2.130898e+02 9.975590e-01 7.426760e-01 
96 769 0 0 0 3.652119e+01 2.131619e+02 9.968546e-01 7.426721e-01 
97 777 0 0 0 3.652413e+01 2.131584e+02 9.995317e-01 7.432979e-01 
98 785 0 0 0 3.652209e+01 2.131464e+02 9.996824e-01 7.431387e-01 
99 793 0 0 0 3.652540e+01 2.131220e+02 9.991849e-01 7.429073e-01 
100 801 0 0 0 3.654226e+01 2.131235e+02 9.999547e-01 7.428028e-01 
101 809 0 0 0 3.655839e+01 2.131037e+02 9.987527e-01 7.427298e-01 
102 817 0 0 0 3.654922e+01 2.131289e+02 9.997370e-01 7.430992e-01 
103 825 0 0 0 3.655354e+01 2.131206e+02 9.988201e-01 7.429742e-01 
104 833 0 0 0 3.654737e+01 2.131471e+02 9.983066e-01 7.430790e-01 
105 841 0 0 0 3.651875e+01 2.131977e+02 9.991630e-01 7.433048e-01 
106 849 0 0 0 3.650815e+01 2.132187e+02 9.994853e-01 7.431597e-01 
107 857 0 0 0 3.649062e+01 2.132330e+02 9.989233e-01 7.429541e-01 
108 865 0 0 0 3.650594e+01 2.132176e+02 9.992240e-01 7.426853e-01 
109 873 0 0 0 3.650914e+01 2.132572e+02 9.985887e-01 7.427496e-01 
110 881 0 0 0 3.652051e+01 2.132233e+02 9.984075e-01 7.429304e-01 
111 889 0 0 0 3.651736e+01 2.132444e+02 9.997233e-01 7.432933e-01 
112 897 0 0 0 3.654362e+01 2.132130e+02 9.993659e-01 7.429096e-01 
113 905 0 0 0 3.652756e+01 2.132024e+02 1.000175e+00 7.427320e-01 
114 913 0 0 0 3.653226e+01 2.132127e+02 1.000123e+00 7.425314e-01 
115 921 0 0 0 3.651719e+01 2.131954e+02 9.995760e-01 7.419953e-01 
116 929 0 0 0 3.652076e+01 2.131993e+02 1.000339e+00 7.418013e-01 
117 937 0 0 0 3.652902e+01 2.131851e+02 1.000172e+00 7.414129e-01 
118 945 0 0 0 3.652352e+01 2.131874e+02 1.000242e+00 7.405761e-01 
119 953 0 0 0 3.651792e+01 2.131822e+02 1.000425e+00 7.401682e-01 
120 961 0 0 0 3.649897e+01 2.132037e+02 1.000038e+00 7.390800e-01 
121 969 0 0 0 3.648141e+01 2.132614e+02 9.995475e-01 7.380252e-01 
122 977 0 0 0 3.649924e+01 2.131984e+02 1.000825e+00 7.369044e-01 
123 985 0 0 0 3.645357e+01 2.132590e+02 1.000482e+00 7.327830e-01 
124 993 0 0 0 3.646526e+01 2.131474e+02 9.968835e-01 7.305200e-01 
125 1001 0 0 0 3.640260e+01 2.132319e+02 9.938664e-01 7.230991e-01 
126 1009 0 0 0 3.636095e+01 2.134880e+02 9.994114e-01 7.211184e-01 
127 1017 0 0 0 3.638061e+01 2.136146e+02 1.001301e+00 7.147226e-01 
128 1025 0 0 0 3.640073e+01 2.135459e+02 9.982565e-01 7.095219e-01 
129 1033 0 0 0 3.649158e+01 2.132585e+02 9.961220e-01 6.953685e-01 
130 1041 0 0 0 3.651604e+01 2.132860e+02 9.981822e-01 6.729896e-01 
131 1049 0 0 0 3.637294e+01 2.138873e+02 9.997042e-01 6.358174e-01 
132 1057 0 0 0 3.630300e+01 2.139377e+02 9.779501e-01 6.165329e-01 
133 1065 0 0 0 3.627990e+01 2.138601e+02 9.703388e-01 5.632178e-01 
134 1073 0 0 0 3.611862e+01 2.141316e+02 9.387847e-01 4.505237e-01 
135 1081 0 0 0 3.603846e+01 2.133009e+02 9.599951e-01 2.697172e-01 
136 1089 0 0 0 3.611183e+01 2.137058e+02 9.100334e-01 1.790782e-01 
